id,label,timeset,3,2,1,0,6,7,5,4,start_dynamic
A,A,,0.0346736733030616,0.14855875831485588,0,Health Care,2016,2017,0.004864881150018918,0.3289351696812242,"<[2011.0, 2017.0, 2016]>"
ABC,ABC,,1.0900256749304637E-10,0.015521064301552107,5,Health Care,2016,2017,0.005885475513328771,0.1552139697895649,"<[2011.0, 2017.0, 2016]>"
ADBE,ADBE,,0.01374361675596746,0.04656319290465632,0,Information Technology,2016,2017,5.330866861710308E-4,0.28856376810249657,"<[2011.0, 2017.0, 2016]>"
ADI,ADI,,0.09976740977733653,0.24390243902439024,2,Information Technology,2016,2017,0.008763980788069831,0.3104279395791298,"<[2011.0, 2017.0, 2016]>"
ADP,ADP,,0.0010121468429085388,0.011086474501108647,2,Information Technology,2016,2017,1.6046233096045465E-4,0.25139759626912517,"<[2011.0, 2017.0, 2016]>"
ADSK,ADSK,,0.0811120859490669,0.19290465631929046,2,Information Technology,2016,2017,0.005980073472892053,0.297484143392509,"<[2011.0, 2017.0, 2016]>"
AES,AES,,0.04248304958177488,0.17738359201773835,0,Utilities,2016,2017,0.021539973866907255,0.33560457701458235,"<[2011.0, 2017.0, 2016]>"
AET,AET,,3.426905768426112E-10,0.006726457399103139,2,Health Care,2015,2016,0.008958532775734367,0.14675880223757815,"<[2011.0, 2017.0, 2015]>"
AGN,AGN,,6.160211428826888E-11,0.019955654101995565,5,Health Care,2016,2017,0.0014983876813206077,0.15474960488368739,"<[2011.0, 2017.0, 2016]>"
ALB,ALB,,0.0746293043094128,0.21951219512195122,0,Materials,2016,2017,0.006950221637628021,0.3380722577279249,"<[2011.0, 2017.0, 2016]>"
ALK,ALK,,1.548899208498703E-5,0.013303769401330377,3,Industrials,2016,2017,0.05650015207945592,0.20731485143235473,"<[2011.0, 2017.0, 2016]>"
ALL,ALL,,0.028903376577805066,0.08869179600886917,0,Financials,2016,2017,0.0016644276750666619,0.31206669944116144,"<[2011.0, 2017.0, 2016]>"
AME,AME,,3.244516044052724E-27,0.0066518847006651885,6,Industrials,2016,2017,6.898250800689825E-5,0.006929046563192905,"<[2011.0, 2017.0, 2016]>"
AMG,AMG,,0.08186349356944175,0.29596412556053814,1,Financials,2015,2016,0.006122069711478085,0.32318840579710145,"<[2011.0, 2017.0, 2015]>"
AMP,AMP,,0.005044666838259435,0.019955654101995565,2,Financials,2016,2017,3.6498681485131345E-7,0.2306579952391193,"<[2011.0, 2017.0, 2016]>"
AON,AON,,0.04941123931206086,0.19068736141906872,0,Financials,2016,2017,0.013226611849344205,0.3417014396853675,"<[2011.0, 2017.0, 2016]>"
APA,APA,,0.08641180893883268,0.19955654101995565,2,Energy,2016,2017,0.001265697123255817,0.3141992736970236,"<[2011.0, 2017.0, 2016]>"
APD,APD,,1.7237291481371118E-4,0.017738359201773836,1,Materials,2016,2017,4.623556694281483E-4,0.2537096526419252,"<[2011.0, 2017.0, 2016]>"
APH,APH,,0.09223533753694348,0.2106430155210643,2,Information Technology,2016,2017,0.00374137809773102,0.31929046563192903,"<[2011.0, 2017.0, 2016]>"
AVY,AVY,,0.00565987737231197,0.08425720620842572,0,Materials,2016,2017,0.004191306992265268,0.31112815297667673,"<[2011.0, 2017.0, 2016]>"
AYI,AYI,,0.0024604542112105056,0.05543237250554324,0,Industrials,2016,2017,6.78584373125387E-4,0.2883626783686272,"<[2011.0, 2017.0, 2016]>"
BA,BA,,0.02517403561347129,0.08425720620842572,2,Industrials,2016,2017,1.1543104250503077E-4,0.24897740280323707,"<[2011.0, 2017.0, 2016]>"
BBT,BBT,,0.0927122106314056,0.22394678492239467,2,Financials,2016,2017,0.002221756685436752,0.3011648060109025,"<[2011.0, 2017.0, 2016]>"
BCR,BCR,,0.004716361335819532,0.082039911308204,1,Health Care,2016,2017,0.005299463279707998,0.31563725664300535,"<[2011.0, 2017.0, 2016]>"
BDX,BDX,,0.02020719713130207,0.1352549889135255,0,Health Care,2016,2017,0.007658945695445004,0.32505926430399057,"<[2011.0, 2017.0, 2016]>"
BEN,BEN,,1.2829809324827179E-31,0.0022172949002217295,7,Financials,2016,2017,0.0,0.0022172949002217295,"<[2011.0, 2017.0, 2016]>"
BHI,BHI,,0.08709583698861399,0.2106430155210643,2,Energy,2016,2017,0.0012530897506448544,0.2976981607618561,"<[2011.0, 2017.0, 2016]>"
BLK,BLK,,0.024744549455745248,0.08425720620842572,0,Financials,2016,2017,0.001753652044959695,0.3031505080285568,"<[2011.0, 2017.0, 2016]>"
BLL,BLL,,0.0045846489738274685,0.017738359201773836,0,Materials,2016,2017,1.528427715847485E-6,0.2717008821135785,"<[2011.0, 2017.0, 2016]>"
CAH,CAH,,5.770497052272754E-9,0.022172949002217293,5,Health Care,2016,2017,0.007563065515453392,0.1791343911077836,"<[2011.0, 2017.0, 2016]>"
CAT,CAT,,0.11021026111936047,0.2616407982261641,2,Industrials,2016,2017,0.006165293587021335,0.31684566880473203,"<[2011.0, 2017.0, 2016]>"
CBG,CBG,,1.5759788272723982E-4,0.013452914798206279,2,Real Estate,2015,2016,0.011188106319504587,0.26819001803968734,"<[2011.0, 2017.0, 2015]>"
CBS,CBS,,0.006722866318362105,0.024390243902439025,2,Consumer Discretionary,2016,2017,2.8653142955123814E-5,0.25717864727096335,"<[2011.0, 2017.0, 2016]>"
CHRW,CHRW,,1.1626985031427651E-5,0.002242152466367713,3,Industrials,2015,2016,0.0,0.1923242777059077,"<[2011.0, 2017.0, 2015]>"
