<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20160101,41.81,41.81,41.81,41.81,0
AA,20160101,29.61,29.61,29.61,29.61,0
AAC,20160101,19.06,19.06,19.06,19.06,0
AAN,20160101,22.39,22.39,22.39,22.39,0
AAP,20160101,150.51,150.51,150.51,150.51,0
AAT,20160101,38.35,38.35,38.35,38.35,0
AAV,20160101,5.08,5.08,5.08,5.08,0
AB,20160101,23.85,23.85,23.85,23.85,0
ABB,20160101,17.73,17.73,17.73,17.73,0
ABBV,20160101,59.24,59.24,59.24,59.24,0
ABC,20160101,103.71,103.71,103.71,103.71,0
ABEV,20160101,4.46,4.46,4.46,4.46,0
ABG,20160101,67.44,67.44,67.44,67.44,0
ABM,20160101,28.47,28.47,28.47,28.47,0
ABR,20160101,7.15,7.15,7.15,7.15,0
ABR-A,20160101,24.5,24.5,24.5,24.5,0
ABR-B,20160101,22.56,22.56,22.56,22.56,0
ABR-C,20160101,25.17,25.17,25.17,25.17,0
ABRN,20160101,24.6,24.6,24.6,24.6,0
ABT,20160101,44.91,44.91,44.91,44.91,0
ABX,20160101,7.38,7.38,7.38,7.38,0
AC,20160101,30.5,30.5,30.5,30.5,0
ACC,20160101,41.34,41.34,41.34,41.34,0
ACCO,20160101,7.13,7.13,7.13,7.13,0
ACH,20160101,8.24,8.24,8.24,8.24,0
ACM,20160101,30.03,30.03,30.03,30.03,0
ACN,20160101,104.5,104.5,104.5,104.5,0
ACP,20160101,11.35,11.35,11.35,11.35,0
ACRE,20160101,11.44,11.44,11.44,11.44,0
ACV,20160101,18.16,18.16,18.16,18.16,0
ADC,20160101,33.99,33.99,33.99,33.99,0
ADM,20160101,36.68,36.68,36.68,36.68,0
ADS,20160101,276.57,276.57,276.57,276.57,0
ADX,20160101,12.83,12.83,12.83,12.83,0
AEB,20160101,24.13,24.13,24.13,24.13,0
AED,20160101,25.86,25.86,25.86,25.86,0
AEE,20160101,43.23,43.23,43.23,43.23,0
AEG,20160101,5.67,5.67,5.67,5.67,0
AEH,20160101,25.78,25.78,25.78,25.78,0
AEK,20160101,27.54,27.54,27.54,27.54,0
AEL,20160101,24.03,24.03,24.03,24.03,0
AEM,20160101,26.28,26.28,26.28,26.28,0
AEO,20160101,15.5,15.5,15.5,15.5,0
AEP,20160101,58.27,58.27,58.27,58.27,0
AER,20160101,43.16,43.16,43.16,43.16,0
AES,20160101,9.57,9.57,9.57,9.57,0
AES-C,20160101,50.08,50.08,50.08,50.08,0
AET,20160101,108.12,108.12,108.12,108.12,0
AEUA,20160101,33.95,33.95,33.95,33.95,0
AF,20160101,15.85,15.85,15.85,15.85,0
AF-C,20160101,25.99,25.99,25.99,25.99,0
AFA,20160101,25.86,25.86,25.86,25.86,0
AFB,20160101,13.81,13.81,13.81,13.81,0
AFC,20160101,25.44,25.44,25.44,25.44,0
AFG,20160101,72.08,72.08,72.08,72.08,0
AFGE,20160101,26.05,26.05,26.05,26.05,0
AFGH,20160101,25.67,25.67,25.67,25.67,0
AFL,20160101,59.9,59.9,59.9,59.9,0
AFS-A,20160101,24.39,24.39,24.39,24.39,0
AFS-B,20160101,25.3,25.3,25.3,25.3,0
AFS-C,20160101,25.56,25.56,25.56,25.56,0
AFS-D,20160101,25.41,25.41,25.41,25.41,0
AFSD,20160101,25.84,25.84,25.84,25.84,0
AFSS,20160101,25.64,25.64,25.64,25.64,0
AFST,20160101,25.87,25.87,25.87,25.87,0
AFT,20160101,15.15,15.15,15.15,15.15,0
AFW,20160101,26.06,26.06,26.06,26.06,0
AG,20160101,3.27,3.27,3.27,3.27,0
AGC,20160101,5.55,5.55,5.55,5.55,0
AGCO,20160101,45.39,45.39,45.39,45.39,0
AGD,20160101,8.85,8.85,8.85,8.85,0
AGI,20160101,3.29,3.29,3.29,3.29,0
AGM,20160101,31.57,31.57,31.57,31.57,0
AGM-A,20160101,25.4,25.4,25.4,25.4,0
AGM-B,20160101,27,27,27,27,0
AGM-C,20160101,26.15,26.15,26.15,26.15,0
AGM.A,20160101,27.04,27.04,27.04,27.04,0
AGN,20160101,312.5,312.5,312.5,312.5,0
AGN-A,20160101,1028.99,1028.99,1028.99,1028.99,0
AGO,20160101,26.43,26.43,26.43,26.43,0
AGO-B,20160101,25.7,25.7,25.7,25.7,0
AGO-E,20160101,25.44,25.44,25.44,25.44,0
AGO-F,20160101,24.91,24.91,24.91,24.91,0
AGR,20160101,38.4,38.4,38.4,38.4,0
AGRO,20160101,12.29,12.29,12.29,12.29,0
AGU,20160101,89.34,89.34,89.34,89.34,0
AGX,20160101,32.4,32.4,32.4,32.4,0
AHC,20160101,5,5,5,5,0
AHH,20160101,10.48,10.48,10.48,10.48,0
AHL,20160101,48.3,48.3,48.3,48.3,0
AHL-B,20160101,26.28,26.28,26.28,26.28,0
AHL-C,20160101,25.79,25.79,25.79,25.79,0
AHP,20160101,14.5,14.5,14.5,14.5,0
AHT,20160101,6.31,6.31,6.31,6.31,0
AHT-A,20160101,25.25,25.25,25.25,25.25,0
AHT-D,20160101,25.19,25.19,25.19,25.19,0
AI,20160101,13.23,13.23,13.23,13.23,0
AIB,20160101,25.41,25.41,25.41,25.41,0
AIC,20160101,19.17,19.17,19.17,19.17,0
AIF,20160101,13.89,13.89,13.89,13.89,0
AIG,20160101,61.97,61.97,61.97,61.97,0
AIG.W,20160101,23.76,23.76,23.76,23.76,0
AIN,20160101,36.55,36.55,36.55,36.55,0
AIR,20160101,26.29,26.29,26.29,26.29,0
AIT,20160101,40.49,40.49,40.49,40.49,0
AIV,20160101,40.03,40.03,40.03,40.03,0
AIV-A,20160101,25.64,25.64,25.64,25.64,0
AIW,20160101,20,20,20,20,0
AIY,20160101,25.06,25.06,25.06,25.06,0
AIZ,20160101,80.54,80.54,80.54,80.54,0
AJG,20160101,40.94,40.94,40.94,40.94,0
AJRD,20160101,15.66,15.66,15.66,15.66,0
AJX,20160101,12.12,12.12,12.12,12.12,0
AKO.A,20160101,16.28,16.28,16.28,16.28,0
AKO.B,20160101,17.41,17.41,17.41,17.41,0
AKP,20160101,14.09,14.09,14.09,14.09,0
AKR,20160101,33.15,33.15,33.15,33.15,0
AKS,20160101,2.24,2.24,2.24,2.24,0
AL,20160101,33.48,33.48,33.48,33.48,0
ALB,20160101,56.01,56.01,56.01,56.01,0
ALDW,20160101,23.25,23.25,23.25,23.25,0
ALE,20160101,50.83,50.83,50.83,50.83,0
ALEX,20160101,35.31,35.31,35.31,35.31,0
ALG,20160101,52.1,52.1,52.1,52.1,0
ALJ,20160101,14.84,14.84,14.84,14.84,0
ALK,20160101,80.51,80.51,80.51,80.51,0
ALL,20160101,62.09,62.09,62.09,62.09,0
ALL-A,20160101,25.36,25.36,25.36,25.36,0
ALL-B,20160101,25.74,25.74,25.74,25.74,0
ALL-C,20160101,27.65,27.65,27.65,27.65,0
ALL-D,20160101,27.68,27.68,27.68,27.68,0
ALL-E,20160101,27.75,27.75,27.75,27.75,0
ALL-F,20160101,26.82,26.82,26.82,26.82,0
ALLE,20160101,65.92,65.92,65.92,65.92,0
ALLY,20160101,18.64,18.64,18.64,18.64,0
ALP-O,20160101,28.6,28.6,28.6,28.6,0
ALR,20160101,39.09,39.09,39.09,39.09,0
ALR-B,20160101,281.2,281.2,281.2,281.2,0
ALSN,20160101,25.89,25.89,25.89,25.89,0
ALV,20160101,124.77,124.77,124.77,124.77,0
ALX,20160101,384.11,384.11,384.11,384.11,0
AM,20160101,22.82,22.82,22.82,22.82,0
AMBR,20160101,5.09,5.09,5.09,5.09,0
AMC,20160101,24,24,24,24,0
AME,20160101,53.59,53.59,53.59,53.59,0
AMFW,20160101,6.44,6.44,6.44,6.44,0
AMG,20160101,159.76,159.76,159.76,159.76,0
AMH,20160101,16.66,16.66,16.66,16.66,0
AMH-A,20160101,25.7,25.7,25.7,25.7,0
AMH-B,20160101,26.11,26.11,26.11,26.11,0
AMH-C,20160101,25.71,25.71,25.71,25.71,0
AMID,20160101,8.09,8.09,8.09,8.09,0
AMP,20160101,106.42,106.42,106.42,106.42,0
AMRC,20160101,6.25,6.25,6.25,6.25,0
AMT,20160101,96.95,96.95,96.95,96.95,0
AMT-A,20160101,98.5675,98.5675,98.5675,98.5675,0
AMT-B,20160101,101,101,101,101,0
AMX,20160101,14.06,14.06,14.06,14.06,0
AN,20160101,59.66,59.66,59.66,59.66,0
ANET,20160101,77.84,77.84,77.84,77.84,0
ANF,20160101,27,27,27,27,0
ANFI,20160101,9.11,9.11,9.11,9.11,0
ANH,20160101,4.35,4.35,4.35,4.35,0
ANH-A,20160101,24.5,24.5,24.5,24.5,0
ANH-B,20160101,23.1,23.1,23.1,23.1,0
ANH-C,20160101,23.57,23.57,23.57,23.57,0
ANTM,20160101,139.44,139.44,139.44,139.44,0
ANTX,20160101,46.05,46.05,46.05,46.05,0
ANW,20160101,8.36,8.36,8.36,8.36,0
AOD,20160101,7.68,7.68,7.68,7.68,0
