<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20091127,28.46,29.09,28.01,28.85,922400
AA,20091127,37.56,38.4,37.38,37.98,15567500
AAN,20091127,17.2333,17.42,16.9067,16.9067,366400
AAP,20091127,38.67,39.94,38.44,39.45,767100
AAV,20091127,5.56,5.79,5.47,5.69,384900
AB,20091127,25.71,25.77,25.22,25.5,211600
ABB,20091127,18.25,18.62,18.18,18.5,1979400
ABC,20091127,24.67,25.04,24.49,24.86,1372400
ABG,20091127,10.61,10.74,10.25,10.65,183300
ABM,20091127,18.53,18.88,18.47,18.53,66500
ABR,20091127,1.75,1.8,1.75,1.78,42600
ABT,20091127,53.49,54.34,53.29,54.08,2889800
ABX,20091127,42.06,43.46,41.7,42.54,7246100
ACC,20091127,25.85,26.48,25.82,26.02,268600
ACH,20091127,26.92,28.04,26.9,27.64,576700
ACM,20091127,25.82,26.01,25.37,25.49,573800
ACN,20091127,39.89,40.58,39.75,40.51,1662900
ACV,20091127,27.79,28.34,27.61,28,305800
ADC,20091127,23.93,24.48,23.65,23.95,21000
ADM,20091127,30.51,30.86,30.15,30.65,2703400
ADS,20091127,61.2,62.2,59.97,61.71,391900
ADX,20091127,9.75,9.92,9.72,9.83,56700
AEB,20091127,14.96,14.99,14.49,14.95,8000
AED,20091127,17.04,17.24,16.79,17.13,29000
AEE,20091127,25.59,25.78,25.37,25.58,762500
AEG,20091127,7.02,7.27,7.02,7.12,521000
AEH,20091127,17.16,17.26,16.8,17.16,72500
AEL,20091127,7.25,7.45,7.19,7.19,136400
AEM,20091127,61.85,63.61,60.89,62.42,3006000
AEO,20091127,15.14,15.27,14.85,15.03,3086900
AEP,20091127,31.97,31.97,31.4,31.55,2738300
AER,20091127,8.05,8.47,8.05,8.35,185000
AES,20091127,12.67,12.99,12.56,12.78,3822200
AES-C,20091127,45,45.64,45,45.3,3200
AET,20091127,28.76,29.62,28.62,29.44,1926400
AF,20091127,10.12,10.38,10.1,10.11,393900
AFB,20091127,13.32,13.5,13.32,13.48,12600
AFC,20091127,16.99,17,16.78,16.99,9600
AFG,20091127,24.25,24.8,24.01,24.29,243800
AFL,20091127,44.19,44.41,43.51,43.65,2216500
AGC,20091127,7.7,7.72,7.62,7.72,49800
AGCO,20091127,29.85,30.81,29.63,30.15,879400
AGD,20091127,18.78,19.24,18.28,19.2,96300
AGM,20091127,6.55,6.76,6.5,6.71,66700
AGM.A,20091127,6.64,6.94,6.25,6.41,1600
AGN,20091127,57.96,58.67,57.82,58.29,705300
AGO,20091127,22.07,22.77,22.02,22.3,668100
AGU,20091127,54,55.28,53.33,54.95,994400
AHC,20091127,4.89,4.89,4.55,4.62,30700
AHL,20091127,25.71,26.09,25.58,25.79,220300
AHL-A,20091127,22.2,22.25,22.01,22.25,8600
AHT,20091127,4.46,4.86,4.4,4.59,404900
AHT-A,20091127,16.55,16.55,16.55,16.55,0
AHT-D,20091127,16.3,16.49,16.3,16.49,1600
AI,20091127,12.25,13.35,12.25,13.24,9100
AIB,20091127,23.95,25.55,23.8,24.5,1387300
AIG,20091127,33.12,33.99,33,33.3,4209300
AIN,20091127,18.48,19.14,17.76,18.33,78600
AIR,20091127,18.61,19.05,18.45,18.86,265700
AIT,20091127,21.05,21.19,20.87,20.88,122200
AIV,20091127,12.8,13.12,12.68,12.85,847400
AIZ,20091127,30.49,30.66,30.16,30.26,666600
AJG,20091127,22.3,22.55,22.12,22.23,212600
AKO.A,20091127,15.8,15.87,15.75,15.75,3600
AKO.B,20091127,18.71,18.89,18.5,18.71,3600
AKP,20091127,12.75,12.84,12.73,12.84,6600
AKR,20091127,15.52,16.16,15.49,15.79,98600
AKS,20091127,19.05,19.84,18.79,19.55,5468500
ALB,20091127,33.1,34.26,33.06,33.84,170200
ALE,20091127,33.12,33.59,33.09,33.32,63800
ALEX,20091127,29.9,31.01,29.9,30.42,68300
ALG,20091127,14.91,15.01,14.74,14.75,12300
ALJ,20091127,7.21,7.28,7.06,7.07,348700
ALK,20091127,7.15,7.4625,7.1325,7.36,178000
ALL,20091127,28.42,28.65,28.07,28.27,2195400
ALP-O,20091127,25.25,25.25,25.25,25.25,0
ALV,20091127,39.56,40.39,39.49,40.18,631400
ALX,20091127,285,294.22,285,287.26,2600
AM,20091127,21.19,21.45,20.82,21.24,216200
AME,20091127,16.1778,16.4667,16.0933,16.3467,185900
AMG,20091127,64.64,65.68,63.31,64.24,252400
AMN,20091127,58.57,59.49,58,58.21,91800
AMP,20091127,36.77,37.61,36.17,37.05,1229500
AMT,20091127,40.19,41.25,40.05,40.88,1044700
AMX,20091127,23.715,24.56,23.475,24.175,2339600
AN,20091127,17.22,17.78,16.99,17.44,1257700
ANF,20091127,39.74,40.91,39.63,39.97,2756300
ANH,20091127,6.96,7.09,6.93,7.02,616300
ANH-A,20091127,24.26,24.59,24.26,24.59,1700
ANH-B,20091127,22.35,22.35,22.35,22.35,0
ANW,20091127,25.3,26.35,25.14,26.31,120500
AOD,20091127,16.92,17.46,16.82,17.36,644100
AOI,20091127,47,48.7,46.2,47.6,353700
AON,20091127,38.46,38.91,38.29,38.39,1037200
AOS,20091127,7.0134,7.14,7.0134,7.0684,76000
AP,20091127,28.25,28.89,27.9,28.12,15700
APA,20091127,94.84,96.52,93.17,95.75,1974100
APB,20091127,10.01,10.14,9.86,10,43300
APC,20091127,60.34,61.04,59.57,60.67,2112500
APD,20091127,81.36,82.73,80.69,82.11,818800
APF,20091127,14.25,14.28,13.96,14.23,16400
APH,20091127,20.695,20.92,20.475,20.675,479200
APU,20091127,37.54,37.86,36.95,37.69,22300
ARE,20091127,55.39,56.11,55,55.25,239600
ARI,20091127,17.05,17.35,17.05,17.28,33300
ARL,20091127,9.35,9.81,9.35,9.8,7900
ARW,20091127,25.91,26.65,25.89,26.49,242400
ASA,20091127,25.9933,26.5333,25.29,25.8267,49500
ASG,20091127,3.15,3.17,3.13,3.14,24700
ASH,20091127,35.25,36.25,34.58,35.66,429600
ASR,20091127,47.82,48.25,47.59,47.9,26400
ASX,20091127,4.1,4.16,4.02,4.12,559300
ATI,20091127,33.84,34.49,33.11,34.19,789900
ATO,20091127,27.87,28.12,27.63,27.85,159500
ATR,20091127,35.83,36.32,35.61,35.91,37700
ATU,20091127,16,16.25,15.91,16.02,195700
ATV,20091127,5.13,5.15,5.05,5.09,15000
ATW,20091127,36.53,37.87,35.75,37.63,519300
AU,20091127,43.81,45.61,43.7,44.52,1903700
AUO,20091127,10.11,10.52,10.11,10.41,3389400
AUY,20091127,13,13.44,12.9,13.18,15585200
AV,20091127,12.34,12.65,12.34,12.65,5700
AVA,20091127,20.57,20.95,20.44,20.6,230900
AVB,20091127,68.73,70.67,68.73,69.12,672400
AVD,20091127,7.05,7.15,7,7.08,42000
AVK,20091127,14.35,14.8,14.33,14.72,57700
AVP,20091127,34.49,34.86,34,34.69,1507200
AVT,20091127,26.77,27.41,26.67,27.15,298300
AVX,20091127,12.1,12.23,12.01,12.1,43000
AVY,20091127,38.35,38.44,37.64,37.69,594500
AWF,20091127,12.75,13.05,12.67,13.03,205600
AWH,20091127,15.9167,16.0733,15.7667,15.78,108300
AWI,20091127,40.65,41.6,39.85,41.31,81700
AWK,20091127,21.6,22.1,21.56,22.01,1367700
AWP,20091127,5.89,5.95,5.73,5.9,144400
AWR,20091127,16.075,16.325,15.975,16.06,44900
AXE,20091127,43.03,44.05,43.03,43.57,146500
AXL,20091127,6.11,6.25,6.03,6.2,928500
AXP,20091127,40.71,41.4,40.45,40.84,6005300
AXR,20091127,13.15,13.68,13.15,13.5,2000
AXS,20091127,28.41,28.76,28.26,28.29,941300
AYI,20091127,32.48,32.92,32.03,32.31,189600
AYR,20091127,8.82,8.91,8.65,8.75,115000
AZN,20091127,44.62,45.53,44.6,45.29,1262500
AZO,20091127,148.12,151.36,147.6,150.05,321500
AZZ,20091127,17,17.385,16.875,16.875,34700
B,20091127,15.53,16,15.16,15.68,150100
BA,20091127,51.35,52.81,51,52.45,3281300
BAC,20091127,15.32,15.76,15.2,15.47,96712600
BAC-C,20091127,19.74,19.77,19.64,19.65,30400
BAC-D,20091127,18.18,18.18,17.94,18.03,31000
BAC-E,20091127,16,16.1,16,16,5800
BAC-I,20091127,18.85,18.85,18.75,18.77,37300
BAC-L,20091127,842,849.49,839,846,3500
