<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20090324,15.66,16.06,15.63,15.79,2718800
AA,20090324,21.51,22.62,21.12,21.96,61064500
AAP,20090324,40.25,40.57,39.09,39.15,2800500
AAV,20090324,2.3,2.3,2.18,2.23,1794200
AB,20090324,14.71,15.62,14.24,14.91,882300
ABB,20090324,14.04,14.42,13.97,14.04,6301300
ABC,20090324,15.685,16.125,15.67,16.025,2090700
ABG,20090324,4.64,4.65,4.13,4.14,620000
ABM,20090324,16.98,17.1,16.35,16.38,287400
ABR,20090324,1.2,1.2,1.1,1.11,84300
ABT,20090324,48.36,48.92,46.14,46.46,15409500
ABX,20090324,32.25,32.9,31.82,32.06,18239500
ACC,20090324,19.03,19.88,18.04,18.14,1189100
ACH,20090324,16.63,16.84,16.12,16.28,1352000
ACM,20090324,25.48,26.37,25.45,25.62,840100
ACN,20090324,31.18,31.57,31.01,31.22,2741400
ACV,20090324,23.29,23.47,22.83,22.9,1235300
ADC,20090324,14.16,14.72,13.74,13.75,71500
ADM,20090324,28.76,29.47,28.6,29,4958200
ADS,20090324,35.55,36.7,35.1,35.3,2136300
ADX,20090324,7.51,7.65,7.42,7.5,183000
AEB,20090324,6.02,6.36,5.71,5.9,17400
AED,20090324,7.38,8,7.24,7.47,60400
AEE,20090324,22.57,23.48,22.55,23.11,2498500
AEG,20090324,4.37,4.49,4.21,4.25,1124600
AEH,20090324,6.9,7.39,6.82,7.1,288300
AEL,20090324,4.23,4.74,4.23,4.39,502600
AEM,20090324,55.05,57.15,53.95,56.36,3784900
AEO,20090324,11.79,12.12,11.61,11.84,6179900
AEP,20090324,28.1,28.37,27.25,27.27,4969900
AER,20090324,3.73,3.73,3.02,3.07,251500
AES,20090324,6.69,6.74,6.38,6.5,5432300
AES-C,20090324,34.7,35.8,32.52,35.33,19600
AET,20090324,23.96,24.19,23.19,23.25,4496700
AF,20090324,9.7,10.08,9.27,9.27,1778900
AFB,20090324,10.9,10.91,10.75,10.75,50600
AFC,20090324,5.93,6.05,5.7,5.91,35800
AFG,20090324,16.96,17.37,16.04,16.04,1279700
AFL,20090324,20.79,22.92,20.3,21.6,12581400
AG,20090324,19.45,20.3,18.99,19.9,2071700
AGC,20090324,4.95,5.21,4.9,5.04,207800
AGCO,20090324,19.45,20.3,18.99,19.9,2071700
AGD,20090324,12.54,12.64,12.32,12.4,95500
AGM,20090324,2.55,2.94,2.55,2.8,49500
AGM.A,20090324,2.4,2.44,2.16,2.44,1700
AGN,20090324,43.25,50.25,42.96,48.95,15789500
AGO,20090324,7.04,7.9,6.62,7.65,2222100
AGU,20090324,37.9,39.49,37.47,38.74,2225100
AHC,20090324,1.02,1.08,0.91,0.91,46300
AHL,20090324,22.88,23.39,22.17,22.25,828200
AHL-A,20090324,14.02,14.05,14.02,14.05,200
AHT,20090324,1.56,1.6,1.41,1.41,667300
AHT-A,20090324,7.35,7.5,7.3,7.35,8900
AHT-D,20090324,7.6,7.6,7.05,7.15,156700
AIB,20090324,9.8,10.8,9.25,9.55,3151900
AIG,20090324,28.4,30.8,26.4,27.8,226650100
AIN,20090324,7.91,8.2,7.84,8.02,511700
AIR,20090324,12.76,12.91,12.52,12.62,806300
