<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20090703,19.72,19.72,19.72,19.72,0
AA,20090703,29.58,29.58,29.58,29.58,0
AAN,20090703,19.6867,19.6867,19.6867,19.6867,0
AAP,20090703,42.24,42.24,42.24,42.24,0
AAV,20090703,3.65,3.65,3.65,3.65,0
AB,20090703,20.21,20.21,20.21,20.21,0
ABB,20090703,15.56,15.56,15.56,15.56,0
ABC,20090703,17.82,17.82,17.82,17.82,0
ABG,20090703,9.85,9.85,9.85,9.85,0
ABM,20090703,17.77,17.77,17.77,17.77,0
ABR,20090703,1.73,1.73,1.73,1.73,0
ABT,20090703,46.28,46.28,46.28,46.28,0
ABX,20090703,34.06,34.06,34.06,34.06,0
ACC,20090703,21.57,21.57,21.57,21.57,0
ACH,20090703,22.8,22.8,22.8,22.8,0
ACM,20090703,29.68,29.68,29.68,29.68,0
ACN,20090703,33.14,33.14,33.14,33.14,0
ACV,20090703,25.28,25.28,25.28,25.28,0
ADC,20090703,17.1,17.1,17.1,17.1,0
ADM,20090703,26.54,26.54,26.54,26.54,0
ADS,20090703,39.56,39.56,39.56,39.56,0
ADX,20090703,8.31,8.31,8.31,8.31,0
AEB,20090703,12.25,12.25,12.25,12.25,0
AED,20090703,14.49,14.49,14.49,14.49,0
AEE,20090703,24.23,24.23,24.23,24.23,0
AEG,20090703,6.04,6.04,6.04,6.04,0
AEH,20090703,14.16,14.16,14.16,14.16,0
AEL,20090703,5.44,5.44,5.44,5.44,0
AEM,20090703,53.48,53.48,53.48,53.48,0
AEO,20090703,13.71,13.71,13.71,13.71,0
AEP,20090703,28.28,28.28,28.28,28.28,0
AER,20090703,7.12,7.12,7.12,7.12,0
AES,20090703,11.29,11.29,11.29,11.29,0
AES-C,20090703,43,43,43,43,0
AET,20090703,24.05,24.05,24.05,24.05,0
AF,20090703,8.15,8.15,8.15,8.15,0
AFB,20090703,11.82,11.82,11.82,11.82,0
AFC,20090703,10.14,10.14,10.14,10.14,0
AFG,20090703,21,21,21,21,0
AFL,20090703,29.43,29.43,29.43,29.43,0
AGC,20090703,6.54,6.54,6.54,6.54,0
AGCO,20090703,28.03,28.03,28.03,28.03,0
AGD,20090703,15.68,15.68,15.68,15.68,0
AGM,20090703,4.87,4.87,4.87,4.87,0
AGM.A,20090703,3.96,3.96,3.96,3.96,0
AGN,20090703,46.77,46.77,46.77,46.77,0
AGO,20090703,12.05,12.05,12.05,12.05,0
AGU,20090703,40.37,40.37,40.37,40.37,0
AHC,20090703,0.98,0.98,0.98,0.98,0
AHL,20090703,22.85,22.85,22.85,22.85,0
AHL-A,20090703,16.04,16.04,16.04,16.04,0
AHT,20090703,2.71,2.71,2.71,2.71,0
AHT-A,20090703,11.07,11.07,11.07,11.07,0
AHT-D,20090703,10.65,10.65,10.65,10.65,0
AI,20090703,7.6,7.6,7.6,7.6,0
AIB,20090703,23.5,23.5,23.5,23.5,0
AIG,20090703,18.25,18.25,18.25,18.25,0
AIN,20090703,11,11,11,11,0
AIR,20090703,15.67,15.67,15.67,15.67,0
AIT,20090703,19.09,19.09,19.09,19.09,0
AIV,20090703,8.42,8.42,8.42,8.42,0
AIZ,20090703,23.26,23.26,23.26,23.26,0
AJG,20090703,20.92,20.92,20.92,20.92,0
AKO.A,20090703,14.79,14.79,14.79,14.79,0
AKO.B,20090703,16.9,16.9,16.9,16.9,0
AKP,20090703,11.19,11.19,11.19,11.19,0
AKR,20090703,13.15,13.15,13.15,13.15,0
AKS,20090703,18.2,18.2,18.2,18.2,0
ALB,20090703,24.82,24.82,24.82,24.82,0
ALE,20090703,28.51,28.51,28.51,28.51,0
ALEX,20090703,23.97,23.97,23.97,23.97,0
ALG,20090703,9.98,9.98,9.98,9.98,0
ALJ,20090703,10.25,10.25,10.25,10.25,0
ALK,20090703,4.5875,4.5875,4.5875,4.5875,0
ALL,20090703,24.05,24.05,24.05,24.05,0
ALP-O,20090703,23.26,23.26,23.26,23.26,0
ALV,20090703,28.35,28.35,28.35,28.35,0
ALX,20090703,259,259,259,259,0
AM,20090703,12.3,12.3,12.3,12.3,0
AME,20090703,15.1333,15.1333,15.1333,15.1333,0
AMG,20090703,57.95,57.95,57.95,57.95,0
AMN,20090703,66.22,66.22,66.22,66.22,0
