<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20081222,16.3,16.3,15.49,15.81,4101700
AA,20081222,29.7,29.97,26.85,27.69,22863800
AAP,20081222,32.56,32.58,30.19,31.21,1466900
AAV,20081222,4.02,4.1,3.92,3.95,852100
AB,20081222,18.95,18.95,17.5,17.75,823100
ABB,20081222,13.78,14,13.26,13.5,4682000
ABC,20081222,17.37,17.37,16.895,17.12,1177700
ABG,20081222,4.55,4.67,3.8,3.87,178000
ABM,20081222,18.06,18.19,17.15,17.85,317700
ABR,20081222,3.18,3.25,3,3.12,183200
ABT,20081222,52.39,52.9,51.54,52.71,7967400
ABX,20081222,33.92,34.96,31.91,32.61,10971000
ACC,20081222,21.97,21.97,19.87,20.94,941400
ACH,20081222,14.87,14.87,13.92,14.17,1284900
ACM,20081222,28.89,29.36,27.77,28.12,1031900
ACN,20081222,31.77,32.37,31.23,32,4760900
ACV,20081222,22.88,23.14,22.32,23.13,736100
ADC,20081222,15.77,16.61,15.54,16.61,41400
ADM,20081222,28.25,28.94,26.8,27.3,5604300
ADS,20081222,47.54,47.59,45.19,46.16,801100
ADX,20081222,8.05,8.12,7.66,7.84,187400
AEB,20081222,6.99,6.99,6,6.28,54100
AED,20081222,9.2,9.3,8.74,9.06,58100
AEE,20081222,32.75,33,32,32.55,902900
AEG,20081222,6.66,6.69,6.33,6.48,885800
AEH,20081222,9.18,9.3,8.97,8.99,113700
AEL,20081222,6.44,7.14,6.42,6.86,1061300
AEM,20081222,47.59,49.1,43.23,44.69,4779900
AEO,20081222,9.74,9.91,9.16,9.42,3228800
AEP,20081222,31.97,32.41,31.78,32.33,3543200
AER,20081222,2.98,3.11,2.74,2.81,4109200
AES,20081222,7.9,8.11,7.58,7.8,7714400
AES-C,20081222,35.43,35.75,33.1,35.54,17500
AET,20081222,27.1,27.45,25.25,26.01,4501400
AF,20081222,15.85,16.31,15.68,16.13,942200
AFB,20081222,8.99,9.28,8.99,9.19,101700
AFC,20081222,9.24,9.6,9.03,9.25,11500
AFG,20081222,22.25,22.58,20.88,21.34,593300
AFL,20081222,45.4,46,43.55,44.15,3147000
AG,20081222,23.57,24.02,21.94,22.7,1226600
AGC,20081222,5.08,5.43,5.08,5.29,167700
AGCO,20081222,23.57,24.02,21.94,22.7,1226600
AGD,20081222,14.1,14.1,13.42,13.68,85300
AGM,20081222,4,4.25,3.55,3.85,149300
AGM.A,20081222,2.75,2.75,2.1,2.33,4700
AGN,20081222,36.66,37.2,36.19,36.86,2125800
AGO,20081222,11.85,11.96,10.76,10.93,823200
AGU,20081222,31.3,31.3,28.3,28.96,2606700
AHC,20081222,2.4,2.52,2.1,2.17,629000
AHL,20081222,22.74,22.74,21.87,22.44,699000
AHL-A,20081222,13.7,13.7,13.07,13.6,2200
AHT,20081222,1.52,1.52,1.29,1.37,1188700
AHT-A,20081222,7,7,7,7,500
AHT-D,20081222,7,7.25,6.92,7.24,7200
AIB,20081222,28.25,28.25,23.55,25.2,977700
AIG,20081222,34,34.2,32.2,32.2,28083600
AIN,20081222,13.52,13.66,12.66,13.18,164200
AIR,20081222,17.11,17.43,16.22,17.1,654400
AIT,20081222,18.78,18.93,18.06,18.72,408300
AIV,20081222,13.56,13.91,12.62,13.28,4551000
AIZ,20081222,27.14,27.77,25.9,26.52,1558600
AJG,20081222,24.96,25.2,24.35,24.68,755200
AKO.A,20081222,11,11,10.05,10.4,2600
AKO.B,20081222,13.4,13.65,13.24,13.65,24000
AKP,20081222,8.97,9.32,8.95,9.1,68900
AKR,20081222,15.5,15.56,14.18,14.98,442100
AKS,20081222,9.58,9.59,8.34,8.71,5326900
ALB,20081222,19.45,19.73,18.98,19.63,1494900
ALE,20081222,31.1,31.25,30.55,31.25,195200
ALG,20081222,13.99,14.21,12.51,12.82,23600
ALJ,20081222,10.23,10.37,8.9,9.25,224100
ALK,20081222,6.9525,7.25,6.695,7.25,1085400
ALL,20081222,31.86,31.86,28.92,29.66,5233000
ALP-O,20081222,20.34,20.65,20.26,20.26,3200
ALV,20081222,21.01,21.27,20.09,20.55,808200
ALX,20081222,272,273.01,242.26,254.5,19900
AM,20081222,9.93,9.98,9.37,9.94,637100
AME,20081222,13.2222,13.2222,12.1422,12.6133,1714000
AMG,20081222,36.55,37.01,33.68,35.1,681400
AMN,20081222,57.77,58.46,53.17,55.33,193600
AMP,20081222,22.82,22.82,20.08,20.56,3532700
AMT,20081222,29.47,29.63,27.13,27.68,3844600
AMX,20081222,16.235,16.295,15.75,16,3209000
AN,20081222,9.59,9.81,8.55,8.75,2725500
ANF,20081222,22.78,23.13,21.1,21.57,5122200
ANH,20081222,6.18,6.32,5.78,6.32,1093700
ANH-A,20081222,18.8,18.88,18.6,18.69,1700
ANH-B,20081222,17.95,17.97,17.6,17.75,3900
ANW,20081222,15.85,16.21,15,15.5,1100500
AOD,20081222,11.96,12,11.56,11.9,1090500
AOI,20081222,25.3,26.1,22.4,24.4,312000
AON,20081222,43.74,44.98,43.4,44.43,3333000
AOS,20081222,4.6734,4.6884,4.4767,4.67,243400
AP,20081222,21.86,22.13,19.25,20.6,39000
APA,20081222,73.58,75.82,69.59,70.99,4367900
APB,20081222,11.61,11.8,11.43,11.5,159000
APC,20081222,37.41,38,35,35.85,5396900
APD,20081222,46.4,46.83,45.05,46.11,2391200
APF,20081222,10.17,10.24,9.8,9.85,70300
APH,20081222,11.735,11.89,11.17,11.415,2193400
APU,20081222,28,28,27.1,27.43,60300
ARA,20081222,9.45,10.08,8.96,9.58,1329800
ARE,20081222,55.14,55.31,50.9,54.03,766900
ARL,20081222,8.2,8.39,8.2,8.39,500
ARW,20081222,17.91,17.91,16.73,17.2,770400
ASA,20081222,15.7667,16,14.98,15.3667,52400
ASG,20081222,2.46,2.49,2.35,2.41,128400
ASH,20081222,11.6,11.68,10.26,10.58,1334300
ASR,20081222,37.09,37.81,35.76,36.56,1998100
ASX,20081222,1.79,1.79,1.65,1.68,156300
ATI,20081222,24.99,24.99,21.98,22.59,1247000
ATO,20081222,23.29,23.64,22.86,23.64,617200
ATR,20081222,33.17,33.4,32.07,32.85,415400
ATU,20081222,16.03,16.03,15.23,15.9,812600
ATV,20081222,3.95,3.95,3.82,3.9,39000
ATW,20081222,14.44,14.44,13.2,13.57,801000
AU,20081222,26.18,26.47,24.86,25.17,2561400
AUO,20081222,7.12,7.14,6.71,6.79,3328000
AUY,20081222,7.07,7.13,6.42,6.57,13111900
AVA,20081222,18.65,18.73,18.1,18.5,291900
AVB,20081222,64.65,66.28,59.87,61.8,2446000
AVD,20081222,11.78,11.86,10.8,11.21,186400
AVK,20081222,9.25,9.88,9.25,9.6,139300
AVP,20081222,23.5,23.74,22.42,23.25,4989500
AVT,20081222,17.2,17.2,16,16.43,1210600
AVX,20081222,7.61,7.61,7.5,7.55,481800
AVY,20081222,32.68,33.08,31.47,32.01,1071400
AWF,20081222,7.32,7.61,7.25,7.36,555900
AWH,20081222,12.76,12.8667,12.2567,12.42,365400
AWI,20081222,21.25,21.29,19.87,20.24,322500
AWK,20081222,21.3,22.11,21.1,22.06,628300
AWP,20081222,3.51,3.51,3.16,3.24,1556000
AWR,20081222,16.29,16.33,15.725,16.23,114500
AXE,20081222,28.32,28.57,26.93,27.9,478300
AXL,20081222,2.4,2.45,2.23,2.36,557600
AXP,20081222,19.33,19.49,18.14,18.42,10756300
AXR,20081222,36.18,37.74,33.08,34.75,12800
AXS,20081222,28.63,28.96,28.1,28.69,1332300
AYI,20081222,34.14,34.32,32.86,34.25,894900
AYR,20081222,5.38,5.38,4.65,5.01,548600
AZN,20081222,40.03,40.3,39.62,40.3,1147600
AZO,20081222,130,130.87,125.77,128.63,1691900
AZZ,20081222,12.54,12.54,11.16,11.655,166300
B,20081222,14.37,14.41,13.1,13.7,768500
BA,20081222,40.65,41.56,40,41.12,5397100
BAC,20081222,13.9,14.01,13.21,13.53,72669696
BAC-C,20081222,17.89,18.45,17.44,18.06,88200
BAC-D,20081222,14.5,14.55,13.58,13.58,118100
BAC-E,20081222,8.77,8.9,8.68,8.7,221400
BAC-I,20081222,14.58,14.6,14.25,14.25,137900
BAC-L,20081222,650,655,630,630,59500
BAC-W,20081222,18.44,18.44,17.91,18,56700
BAC-Y,20081222,16.09,16.2,15.49,15.55,23200
BAF,20081222,8.91,9.11,8.91,9.1,17500
BAK,20081222,4.9,4.91,4.64,4.69,165100
BAM,20081222,10.6267,10.6333,9.8333,10.0333,2209600
BAP,20081222,47.15,47.5,46.05,47.5,341700
BAS,20081222,11.39,11.56,10.5,11.01,313800
BAX,20081222,53.76,54.26,52.8,53.66,3072700
BBD,20081222,7.8409,7.8788,7.3939,7.5076,7248300
BBF,20081222,9.5,10,9.46,9.49,31300
BBG,20081222,20.4,20.51,18.01,18.81,530200
BBK,20081222,9.25,9.58,9.09,9.09,125700
BBL,20081222,36.93,37.29,35.13,35.68,1430500
BBT,20081222,27.6,28.28,26.53,26.78,5726100
BBVA,20081222,11.99,12.01,11.63,11.8,368300
BBW,20081222,4.38,4.45,3.95,4.05,382400
BBX,20081222,26.1,26.15,23.8,24.25,207900
BBY,20081222,28.4,28.5,26.8,27.31,6652200
BC,20081222,3.93,3.93,3.54,3.85,1628300
BCE,20081222,18.67,18.69,18.18,18.33,2227500
BCH,20081222,32.38,34,32.01,32.35,17000
BCO,20081222,25.02,25.04,23.69,24.23,715600
BCR,20081222,79.75,80.69,78.85,80.01,697000
BCS,20081222,8.59,8.72,8.5,8.64,990100
BCS-A,20081222,12.96,12.96,12.5,12.68,168900
BCS-D,20081222,14.43,14.65,14.08,14.38,325100
BDC,20081222,19.41,19.44,17.97,18.68,649800
BDJ,20081222,8.13,8.27,8.05,8.07,209500
BDN,20081222,7.14,7.49,6.5,6.87,2403000
BDX,20081222,66.63,67.43,66.18,67.43,1123000
BEN,20081222,20.8667,20.9233,19.9667,20.2867,1076500
BEP,20081222,9.61,9.61,9.21,9.22,75800
BF.A,20081222,15.8334,16.5834,15.8334,16.5834,5900
BF.B,20081222,16.4867,16.77,16.36,16.74,483400
BFK,20081222,8,8.1,7.64,7.75,198400
BFO,20081222,9.65,9.88,9.55,9.65,26700
BFR,20081222,3.48,3.48,2.9,2.9,40100
BFS,20081222,39.45,40.16,37.23,40.01,120700
BFZ,20081222,8.78,9.08,8.78,8.86,74200
BG,20081222,45.11,46,43.62,44.29,1453800
BGC,20081222,17.93,17.93,15.64,16,1276200
BGE-B,20081222,15.57,15.57,15.25,15.5,8700
BGG,20081222,16.26,16.58,15.42,15.88,699000
BGH,20081222,13.15,13.85,12.75,13.15,69000
BGR,20081222,14.76,14.98,13.63,14.09,321700
BGS,20081222,5.19,5.2,4.95,5.06,214000
BGT,20081222,8.54,8.71,8.2,8.27,177500
BGY,20081222,7.95,8.08,7.8,8.06,422800
BHE,20081222,12.93,12.98,12.37,12.63,778500
BHI,20081222,30.08,30.5,29.39,29.81,5561400
BHK,20081222,10.8,11.03,10.65,10.8,78200
BHL,20081222,8.65,9.5,7.99,8.6,107200
BHP,20081222,41.28,41.78,38.94,39.59,4310900
BID,20081222,8.83,8.83,7.82,8.31,1641200
BIF,20081222,4.33,4.48,4.2,4.23,210600
BIG,20081222,15.48,15.48,14.35,14.59,2486000
BIO,20081222,68.75,69.89,66.67,69.89,162000
BIO.B,20081222,67.02,67.02,67.02,67.02,700
BIP,20081222,7.4667,7.66,7.1667,7.1667,35300
BJZ,20081222,11.5,11.9,11.09,11.1,23500
BK,20081222,26.25,27.09,25.62,25.83,7317700
BKD,20081222,6.38,6.53,5.58,5.8,764400
BKE,20081222,22.66,22.88,20.57,21.33,669600
BKH,20081222,26,26.28,25.37,26.24,408200
BKK,20081222,11.55,11.55,10.37,10.46,82000
BKN,20081222,8.18,8.3,8.08,8.25,81500
BKS,20081222,14.68,14.68,12.78,13.32,1923500
BKT,20081222,5.8,5.8,5.7,5.75,261100
BLH,20081222,13.7,13.77,13.42,13.73,10200
BLK,20081222,136,136.32,130.54,133.29,283800
BLL,20081222,20.55,20.595,19.33,19.855,1249500
BLW,20081222,10.63,11.03,10.2,10.7,134000
BLX,20081222,12.15,12.98,12.1,12.6,98400
BMA,20081222,11.61,11.63,10.76,11.37,64500
BME,20081222,18.45,18.6,18.29,18.44,34000
BMI,20081222,29.61,29.89,28,29.5,181600
BMO,20081222,24.8,24.8,23.96,24.22,427400
BMS,20081222,25.21,25.27,24.39,24.86,903900
BMY,20081222,23,23.25,22.44,22.93,16971900
BNJ,20081222,11.75,11.84,11.51,11.56,16000
BNS,20081222,24.23,24.55,23.94,24.22,512400
BNY,20081222,9.38,9.5,8.93,9.23,24000
BOE,20081222,15.4,15.4,14.55,14.67,33100
BOH,20081222,42.22,42.27,40.9,41.62,397100
BP,20081222,45.74,45.74,44.26,44.9,5422600
BPK,20081222,12.43,12.47,11.9,11.93,72000
BPL,20081222,30.72,31.42,29.28,29.78,179300
BPT,20081222,69.05,69.05,66.5,66.82,109300
BQH,20081222,9.75,9.88,9.63,9.83,4400
BR,20081222,12.96,13.07,11.78,12.23,1282800
BRC,20081222,23.43,23.79,21.84,22.71,494000
BRK.A,20081222,96700,97310,92900,94500,700
BRK.B,20081222,64.6,65,61.1,63.98,24000
BRO,20081222,20.14,20.39,19.77,20.14,791800
BRS,20081222,21.31,21.55,19.13,19.87,254200
BRT,20081222,3.7,4.16,3.7,4.02,24500
BSD,20081222,7.92,8.1,7.92,7.99,44100
BSE,20081222,8.49,8.98,8.47,8.69,26700
BSX,20081222,7.8,7.89,7.32,7.53,10656400
BT,20081222,10.42,10.445,10.25,10.355,298400
BTA,20081222,6.54,6.77,6.54,6.62,62100
BTE,20081222,11.3,11.6,10.65,10.8,603600
BTO,20081222,13.4,13.56,12.88,13,275900
BTZ,20081222,7.42,7.52,7.15,7.25,244200
BVN,20081222,18.96,18.96,17.71,18.47,1255800
BW,20081222,12.9,12.9,11.21,11.65,223100
BWA,20081222,10.925,10.93,10.425,10.62,1920400
BWP,20081222,19.09,19.15,18.33,18.61,614200
BX,20081222,5.81,6,5.64,5.89,1290300
BXC,20081222,11.4,11.6,10.2,10.5,76200
BXP,20081222,56.69,56.97,51.55,53.65,2521600
BXS,20081222,21.13,21.16,19.97,20.34,577500
BYD,20081222,5,5.09,4.35,4.52,1216200
BYM,20081222,10.03,10.19,9.84,9.97,237500
BZH,20081222,8.35,8.75,7.25,7.25,1281200
C,20081222,71.5,72.5,65.4,67.5,13538750
C-P,20081222,14.29,14.45,13.78,14.13,628100
C-S,20081222,13.81,14.25,13.67,13.85,56300
CAB,20081222,7.08,7.23,6.4,6.51,375200
CACI,20081222,42.06,42.45,41.46,42.41,297400
CAE,20081222,30.2,30.22,26.79,27.8,79200
CAF,20081222,25.25,25.59,23.4,24.04,237000
CAG,20081222,16.01,16.45,16.01,16.24,4225900
CAH,20081222,33.07,33.53,32.62,33.14,2110500
CAI,20081222,42.06,42.45,41.46,42.41,297400
CAJ,20081222,31.07,31.07,29.98,30.41,617300
CAL,20081222,16.83,17.83,16.32,16.84,6933600
CAS,20081222,10.79,10.85,9.35,10.03,135400
CAT,20081222,43.12,43.49,40.82,41.78,9148500
CB,20081222,49.25,49.77,47.39,47.88,2697800
CBB,20081222,9.45,9.7,8.75,9,1213500
CBB-B,20081222,24,24.03,21.75,22.49,3400
CBD,20081222,13.98,14.125,13.755,14.035,361800
CBG,20081222,4.02,4.9,3.8,3.96,6087700
CBI,20081222,10.93,11.14,9.61,9.97,1659800
CBK,20081222,5.02,5.2,3.9,4.32,387500
CBL,20081222,7.56,7.94,7.19,7.75,4009300
CBL-D,20081222,8.05,8.15,7.77,7.95,8000
CBM,20081222,4.69,4.92,4.27,4.63,141900
CBR,20081222,4.56,4.66,4.04,4.33,287600
CBS,20081222,7.69,7.69,7.27,7.46,10139400
CBS.A,20081222,7.8,7.8,7.42,7.6,55000
CBT,20081222,14.69,14.69,13.88,14.32,659000
CBU,20081222,23.2,23.28,22.09,22.94,224400
CBZ,20081222,8.57,8.69,8.41,8.69,303700
CCC,20081222,15.44,15.52,14.52,15.27,720100
CCE,20081222,11.8,12.04,11.46,11.72,4178300
CCI,20081222,17.46,17.73,16.38,16.94,2303800
CCJ,20081222,16.59,16.68,15.35,15.6,2832800
CCK,20081222,19.44,19.53,17.82,18.51,1896400
CCL,20081222,23.6,23.76,22.54,23.13,4925800
CCO,20081222,5.22,5.31,4.46,4.92,497200
CCS,20081222,18.9,19.4,18.56,18.9,51500
CCU,20081222,10.384,10.516,10.268,10.396,15200
CCZ,20081222,24.5,24.65,24.5,24.65,700
CDE,20081222,8.7,9.2,8.5,8.9,16443100
CDI,20081222,11.87,12.07,10.71,11.04,125500
CDR,20081222,6.54,6.8,6.33,6.79,468500
CE,20081222,12.04,12.13,11.17,11.61,1779700
CEA,20081222,8.08,8.08,7.51,7.63,65000
CEE,20081222,15.22,15.84,15.09,15.16,72300
CEL,20081222,21.47,21.47,20.95,21.2,156200
CEM,20081222,1.51,1.51,1.35,1.51,2121300
CEO,20081222,89.4,91.55,87.08,88.11,482400
CF,20081222,9.572,9.58,8.9,9.102,1424300
CFC-B,20081222,15.7,16,15.51,15.75,167300
CFI,20081222,2.24,2.25,2.18,2.19,2300
CFR,20081222,48,48.88,47.11,47.85,849700
CFX,20081222,9.53,9.57,8.79,9.07,215700
CHA,20081222,37.66,37.9,36.58,37.13,300800
