<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20120625,2.71,2.71,2.68,2.7,2900
AAON,20120625,8.28,8.4267,8.2578,8.3467,30500
AAPL,20120625,82.4714,82.8286,81.4814,81.5386,10869800
AAWW,20120625,43.18,43.37,40.88,41.41,175300
AAXJ,20120625,50.37,50.37,49.96,50.15,647300
ABAX,20120625,35.44,35.81,35.23,35.41,55800
ABCB,20120625,11.81,11.81,11.56,11.69,25300
ABCD,20120625,1.04,1.08,0.95,1.03,84600
ABCO,20120625,48.33,48.76,47.34,47.8,327700
ABIO,20120625,20.16,22.26,18.9,19.74,32500
ABMD,20120625,20.95,21.07,20.55,20.71,269200
ABTL,20120625,3.65,3.75,3.6,3.75,65200
ACAD,20120625,1.5,1.53,1.48,1.51,193400
ACAS,20120625,9.34,9.47,9.32,9.45,2310700
ACAT,20120625,34.4,34.4,33,33.33,165300
ACET,20120625,8.45,8.57,8.38,8.53,38900
ACFC,20120625,2.52,2.54,2.45,2.5,17900
ACGL,20120625,37.46,37.72,37.01,37.55,490300
ACHC,20120625,16.35,16.91,16,16.85,205100
ACHN,20120625,6.48,6.53,6.31,6.38,347200
ACIW,20120625,14.0233,14.1367,13.8167,13.9333,145700
ACLS,20120625,4.8,4.84,4.72,4.8,172400
ACNB,20120625,14.49,14.6,14.49,14.6,2400
ACOR,20120625,23.39,23.51,22.63,22.71,191800
ACPW,20120625,4.15,4.2,4,4,347200
ACRX,20120625,3.11,3.35,3.1,3.1,3500
ACTG,20120625,35.95,36.68,35.8,36.35,340300
ACTS,20120625,1.66,1.68,1.62,1.68,44800
ACUR,20120625,3.02,3.11,3,3.06,23200
ACWI,20120625,42.38,42.38,41.93,42.04,1256000
ACWX,20120625,35.41,35.47,35.23,35.35,247800
ACXM,20120625,13.96,14.04,13.73,13.82,457800
ADBE,20120625,31.26,31.36,30.8,30.84,2595300
ADES,20120625,13.085,13.185,12.665,12.895,87300
ADI,20120625,37.29,37.31,36.8,36.96,2295600
