<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20120104,1.96,1.96,1.96,1.96,400
AAON,20120104,9.0845,9.4267,8.9955,9.0845,53900
AAPL,20120104,58.5829,59.24,58.4686,59.0629,9294400
AAWW,20120104,38.97,39.56,38.61,39.28,166600
AAXJ,20120104,50.71,50.97,50.53,50.87,314400
ABAX,20120104,28.01,29.03,27.93,28.11,54800
ABCB,20120104,10.54,10.54,10.22,10.36,46900
ABCD,20120104,3.43,3.43,3,3.06,16300
ABCO,20120104,36.95,37.955,36.55,37.805,92600
ABIO,20120104,41.58,41.58,40.74,41.58,28300
ABMD,20120104,18.29,18.5,17.96,18.11,180300
ABTL,20120104,3.55,3.7,3.55,3.7,35500
ACAD,20120104,1.12,1.12,1.08,1.09,58400
ACAS,20120104,7.09,7.38,7.04,7.33,14606700
ACAT,20120104,21.83,22.63,21.63,22.23,102500
ACET,20120104,6.93,7.05,6.9,6.92,92300
ACFC,20120104,2.9,2.9,2.25,2.5,23300
ACGL,20120104,37.63,37.64,36.64,36.8,749600
ACHC,20120104,9.71,10.05,9.71,9.74,46800
ACHN,20120104,8,8.15,7.65,7.71,968600
ACIW,20120104,9.51,9.6233,9.4867,9.4867,183800
ACLS,20120104,5.56,5.6,5.4,5.44,259400
ACNB,20120104,14.18,14.18,13.9,14,1300
ACOR,20120104,24.65,24.92,24.3,24.85,639300
ACPW,20120104,3.45,3.55,3.3,3.5,444500
ACRX,20120104,1.95,2.12,1.95,2.02,4200
ACTG,20120104,36.32,37.02,34.96,35.74,544100
ACTS,20120104,1.88,1.89,1.88,1.89,21100
ACUR,20120104,3.52,3.57,3.49,3.51,22700
ACWI,20120104,42.94,43.02,42.65,42.97,717000
ACWX,20120104,37.5,37.57,37.27,37.49,383900
ACXM,20120104,12.32,12.51,12.14,12.41,260800
ADBE,20120104,28.5,28.59,28.04,28.28,3852300
ADES,20120104,11.355,11.455,11.22,11.245,35700
ADI,20120104,36.04,36.08,35.65,35.98,1427900
ADP,20120104,47.8314,47.9281,47.5241,47.7611,1880000
ADRA,20120104,23.39,23.39,23.15,23.17,3400
ADRD,20120104,18.99,19.13,18.99,19.13,2900
ADRE,20120104,39.1,39.46,39.07,39.4,23500
ADRU,20120104,19.1,19.1,19.1,19.1,0
ADSK,20120104,30.67,30.73,30.03,30.21,2778500
ADTN,20120104,29.01,29.46,27.68,29.01,1782100
ADUS,20120104,3.73,3.73,3.57,3.72,1500
AEGN,20120104,16.16,16.39,15.94,16.18,255600
AEGR,20120104,16.2,16.2,15.56,15.59,59400
AEHR,20120104,0.62,0.74,0.62,0.74,25900
AEIS,20120104,10.98,11.32,10.9,11,651000
AEPI,20120104,28.48,28.48,28,28.33,27900
AETI,20120104,5.18,5.19,5.01,5.14,9000
AEY,20120104,2.08,2.12,2.04,2.11,17700
AEZS,20120104,942,954,912,948,432500
AFAM,20120104,16.54,16.84,16.28,16.55,83200
AFSI,20120104,11.13,11.92,11.1,11.915,666000
AGEN,20120104,2.14,2.16,2.06,2.1,34500
AGII,20120104,29.5,29.54,28.89,29.04,52400
AGNC,20120104,28.16,28.39,28.15,28.33,2887700
AGYS,20120104,8,8.15,7.95,8.01,66400
AHGP,20120104,51.53,53.8,51.53,53.8,31500
AHPI,20120104,3.21,3.45,3.21,3.4,6100
AIMC,20120104,19.06,19.16,18.67,18.85,67200
AINV,20120104,6.72,6.78,6.61,6.67,1887100
AIRM,20120104,28.83,28.8967,27.7367,27.8133,59600
AIRT,20120104,8.39,8.63,8.33,8.35,16200
AIXG,20120104,14.08,14.16,13.65,13.76,191200
AKAM,20120104,32.72,32.81,32.08,32.44,4259600
AKRX,20120104,11.05,11.25,10.98,11.01,973400
ALCO,20120104,20.12,20.14,19.47,19.58,4600
ALGN,20120104,23.9,24.58,23.8,24.41,454700
ALGT,20120104,52.49,54.2,52.49,53.96,79400
ALIM,20120104,1.35,1.44,1.34,1.36,241000
ALKS,20120104,17.55,17.67,17.16,17.2,475000
ALLT,20120104,15.47,15.75,15.24,15.55,354500
ALNY,20120104,8.88,8.98,8.62,8.65,241000
ALOG,20120104,57.89,58.48,57.54,58.23,87400
ALOT,20120104,7.9,7.96,7.58,7.88,1200
ALSK,20120104,3.05,3.06,2.9,2.97,868500
ALXN,20120104,70.38,71.05,69.82,70.29,751100
AMAG,20120104,18.4,19.08,18.36,18.7,141100
AMAT,20120104,10.71,10.76,10.61,10.76,10571500
AMCC,20120104,6.85,6.95,6.73,6.74,415600
AMCN,20120104,3.5,3.62,3.47,3.55,125700
AMCX,20120104,36.98,37.84,36.98,37.7,431600
AMD,20120104,5.44,5.49,5.41,5.46,8035900
AMED,20120104,11.11,11.25,10.49,10.53,507000
AMGN,20120104,64.1,64.13,63.4,63.76,7096300
AMKR,20120104,4.6,4.66,4.55,4.57,638800
AMNB,20120104,19.32,19.5,19.32,19.35,2000
AMOT,20120104,5.35,5.73,5.35,5.68,6100
AMOV,20120104,22.97,22.99,22.93,22.93,2100
AMRB,20120104,4.55,4.56,4.54,4.55,1800
AMRI,20120104,2.85,2.91,2.85,2.87,16500
AMRN,20120104,6.44,6.54,6.26,6.35,10673900
AMRS,20120104,12.28,12.29,11.9,11.98,147500
AMSC,20120104,37.2,38.8,36.7,38,406800
AMSF,20120104,22.78,23.43,22.78,23.31,39300
AMSG,20120104,25.75,26.01,25.45,25.56,150000
AMSWA,20120104,9.58,9.75,9.38,9.65,105100
AMTD,20120104,15.85,16.03,15.69,15.96,2764700
AMWD,20120104,13.68,13.83,13.13,13.33,38800
AMZN,20120104,179.14,180.5,176.07,177.51,4206600
ANAT,20120104,71.91,72.45,71.5,71.75,13300
ANCB,20120104,6.35,6.45,6.34,6.45,2700
ANCX,20120104,9,9,8.98,8.98,200
ANDE,20120104,28.78,29.1,28.1667,28.46,334300
ANGI,20120104,14.88,15,13.79,14.09,339200
ANGO,20120104,14.72,15.02,14.49,14.51,46900
ANIK,20120104,9.28,9.56,9.22,9.56,39400
ANSS,20120104,57.16,57.22,56.34,56.4,241400
ANTH,20120104,48.88,48.88,45.84,47.2,147300
AOSL,20120104,7.89,7.95,7.42,7.45,73400
APEI,20120104,42.77,43,41.99,42.88,261600
APOG,20120104,12.29,12.57,12.24,12.44,76300
APOL,20120104,52.68,54.19,52.43,54.11,2585000
APPY,20120104,46.56,47.04,44.64,47.04,5200
APRI,20120104,50.9,52,50.6,51.2,216600
APWC,20120104,2.85,3.01,2.85,2.98,16800
ARAY,20120104,4.44,4.5,4.31,4.41,417800
ARCC,20120104,15.58,15.63,15.45,15.51,976000
ARCI,20120104,5.3,5.37,5.1,5.32,15400
ARCW,20120104,1.256,1.256,1.256,1.256,200
AREX,20120104,30.84,31.35,29.77,31.27,373300
ARIA,20120104,12.33,13.05,12.27,12.73,5169000
ARII,20120104,23.83,25.07,23.62,24.83,52700
ARKR,20120104,13.57,13.59,13.38,13.59,1200
ARLP,20120104,38.35,40,38.25,40,94700
