<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20080815,1.43,1.43,1.43,1.43,600
AAON,20080815,6.6607,6.7852,6.4385,6.5126,128400
AAPL,20080815,25.5771,25.6786,25.0071,25.1057,25297100
AAWW,20080815,52.47,54.43,52.47,53.49,157600
AAXJ,20080815,50.13,50.13,50.13,50.13,100
ABAX,20080815,22.69,23.12,21.91,22.26,262700
ABCB,20080815,13,13,12.5,12.78,57200
ABCO,20080815,15.75,16.17,15.55,15.735,291200
ABMD,20080815,18.99,19.15,18.58,19.04,291700
ABTL,20080815,5.55,6.25,5.35,5.95,62900
ACAD,20080815,3.29,3.32,3.02,3.1,153800
ACAS,20080815,22.76,23.45,22.5,22.75,2770500
ACAT,20080815,10.25,10.48,10.18,10.47,93900
ACET,20080815,8.4,8.45,7.84,8.02,77400
ACFC,20080815,7.64,7.83,7.34,7.82,4300
ACGL,20080815,22.9167,23.3033,22.67,23.3033,197100
ACHN,20080815,2.74,2.75,2.7,2.7,2000
ACIW,20080815,5.54,5.82,5.5133,5.7167,561700
ACLS,20080815,21.12,21.2,20.12,20.64,486400
ACOR,20080815,29.06,29.11,27.43,27.99,826900
ACPW,20080815,3.6,3.75,3.6,3.7,64400
ACTG,20080815,4.08,4.16,4.05,4.07,71900
ACTS,20080815,3.05,3.1,2.98,3.06,335000
ACUR,20080815,8.7,8.7,8.25,8.52,22700
ACWI,20080815,47.13,47.19,46.91,47.05,21400
ACWX,20080815,45.82,45.92,45.6,45.72,2400
ACXM,20080815,14,14.49,13.81,13.95,589400
ADBE,20080815,45.56,45.87,44.65,45.11,4433100
ADES,20080815,4.165,4.325,4.165,4.325,1200
ADI,20080815,33.53,33.53,32.45,32.57,2966500
ADP,20080815,39.8947,40.2371,39.5434,40.1318,1845700
ADRA,20080815,28.65,28.68,28.48,28.56,15800
ADRD,20080815,25.57,25.64,25.43,25.56,31500
ADRE,20080815,44.97,44.98,44.34,44.46,257800
ADRU,20080815,25.52,25.62,25.5,25.59,5600
ADSK,20080815,37.76,39,37.46,38.37,13398700
ADTN,20080815,22.67,23.31,22.08,22.51,1288600
AEHR,20080815,4.84,4.84,4.72,4.74,45200
AEIS,20080815,16.06,16.55,15.83,16.55,449700
AEPI,20080815,19.52,19.9,18.21,18.35,30800
AETI,20080815,4.18,4.36,4.18,4.26,17300
AEY,20080815,3.1,3.1,3.03,3.05,4100
AEZS,20080815,750,792,726,726,2000
AFAM,20080815,39.97,40.78,39.2,40.21,157900
AFSI,20080815,7.015,7.055,6.805,7.025,282600
AGEN,20080815,1.93,1.97,1.91,1.94,92600
AGII,20080815,38.89,38.89,37.31,38.14,183800
AGNC,20080815,17.19,17.49,16.5,16.71,116400
AGYS,20080815,13.09,13.19,12.65,12.85,332000
AHGP,20080815,27.89,27.89,26.99,27.2,22700
AHPI,20080815,6.8,6.81,6.44,6.67,3100
AIMC,20080815,17.55,17.98,17,17.8,281600
AINV,20080815,16.71,17.2,16.42,16.83,1289000
AIRM,20080815,11.3467,11.3467,10.79,10.8867,215500
AIRT,20080815,11.5,11.54,10.84,11.14,42000
AIXG,20080815,10.61,10.61,10.38,10.54,38300
AKAM,20080815,23.66,23.69,22.78,23.13,3787500
AKRX,20080815,5.19,5.23,4.82,5,315200
ALCO,20080815,44.58,45.24,44.1,44.75,40600
ALGN,20080815,12.96,13.13,12.86,13.02,1037000
ALGT,20080815,30.01,31.28,29.68,31.02,359100
ALKS,20080815,16.39,16.83,16.17,16.38,1311200
ALLT,20080815,2.5,2.5,2.45,2.5,8300
ALNY,20080815,34.72,34.97,34.23,34.73,369600
ALOG,20080815,75.73,76.68,73.89,74.49,79700
ALOT,20080815,9.4,9.45,9.4,9.45,400
ALSK,20080815,11.01,11.06,10.86,11.01,469200
ALXN,20080815,47.675,47.895,46.24,46.385,1000100
AMAG,20080815,48.16,48.54,47.14,48.47,506100
AMAT,20080815,19.24,19.49,19.12,19.3,17797900
AMCC,20080815,8.79,8.8,8.52,8.57,1688200
AMCN,20080815,11.55,11.75,11.23,11.23,101500
AMD,20080815,5.37,5.87,5.25,5.64,33370600
AMED,20080815,53.94,57.32,53.65,57.03,2433100
AMGN,20080815,64.14,65.6,64.14,65.06,13136100
AMKR,20080815,8.88,8.97,8.61,8.77,2363000
AMNB,20080815,16.82,17.99,16.82,17.99,900
AMOT,20080815,5.74,5.74,5.22,5.22,8700
AMOV,20080815,25.31,25.57,25.25,25.57,1300
AMPH,20080815,19.86,20.99,19.86,20.85,5100
AMRB,20080815,10.19,10.19,9.91,9.95,13100
AMRI,20080815,17.72,18.1,17.24,17.57,229600
AMRN,20080815,1.55,1.55,1.5,1.55,600
AMSC,20080815,266.3,268,252.9,259.6,1040400
AMSF,20080815,17.66,17.81,17.03,17.45,126100
AMSG,20080815,28.04,28.08,27.44,28,146400
