<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20081230,0.65,0.87,0.65,0.87,12400
AAON,20081230,6.1985,6.2815,5.9378,6.2815,191000
AAPL,20081230,12.4886,12.5786,12.1029,12.3271,34579600
AAWW,20081230,16.97,17.66,16.67,17.31,174200
AAXJ,20081230,33.19,33.55,32.75,33.2,168900
ABAX,20081230,14.99,15.51,14.63,15.35,127200
ABCB,20081230,10.07,10.81,9.76,10.79,14700
ABCO,20081230,10.945,11.11,10.665,11,80300
ABMD,20081230,15.01,15.47,14.91,15.23,225200
ABTL,20081230,2.2,2.4,1.9,2,608200
ACAD,20081230,0.84,0.89,0.83,0.86,299900
ACAS,20081230,2.96,2.96,2.77,2.94,6156800
ACAT,20081230,4.75,5.23,4.68,5.23,63500
ACET,20081230,9.02,9.46,8.94,9.39,143600
ACFC,20081230,4,4.03,3.4,3.66,13300
ACGL,20081230,23,23.3333,21.9,23.33,426200
ACHN,20081230,1.02,1.02,0.88,0.88,46100
ACIW,20081230,5.1633,5.2067,4.9133,5.1067,486500
ACLS,20081230,2.4,2.48,2.32,2.4,250800
ACOR,20081230,19.65,20.44,19.05,20.37,480600
ACPW,20081230,1.45,1.6,1.3,1.6,263300
ACTG,20081230,2.76,3.1,2.76,3.02,171500
ACTS,20081230,1.6,1.7,1.52,1.7,177700
ACUR,20081230,7.5,7.5,6.83,7.21,13200
ACWI,20081230,31.02,31.92,31.02,31.92,202400
ACWX,20081230,30.02,30.35,29.79,30.35,313500
ACXM,20081230,7.3,7.83,7.15,7.83,546100
ADBE,20081230,20.6,21.06,20.38,21.05,4911200
ADES,20081230,1.59,1.605,1.565,1.565,6500
ADI,20081230,18.16,18.94,18.16,18.84,2498100
ADP,20081230,33.9859,34.46,33.5734,34.3546,2859300
ADRA,20081230,19.01,19.51,19.01,19.51,54300
ADRD,20081230,16.8,17.06,16.78,17.02,55400
ADRE,20081230,26.1,27,26.1,26.94,174100
ADRU,20081230,16.66,16.7,16.61,16.69,7700
