<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20081028,0.95,1.01,0.95,0.95,6200
AAON,20081028,4.2103,4.5363,3.8815,4.5067,100000
AAPL,20081028,13.6314,14.3571,13.1957,14.2729,58418200
AAWW,20081028,19.53,20.3,18.04,18.96,391700
AAXJ,20081028,27.7,29.9,26.67,29.9,145400
ABAX,20081028,11.24,12.25,10.7,12.08,1098700
ABCB,20081028,10.21,10.46,9.75,10.31,44400
ABCO,20081028,11.5,11.84,10.685,11.325,245400
ABMD,20081028,11.39,11.39,10.65,11.24,431800
ABTL,20081028,2.95,3.1,2.75,2.9,30400
ACAD,20081028,1.44,1.7,1.33,1.65,372000
ACAS,20081028,10.58,13.37,9.97,12.86,5285200
ACAT,20081028,6.46,6.52,6.07,6.26,70000
ACET,20081028,7.35,8.26,7.35,8.19,165600
ACFC,20081028,6.47,6.53,6.09,6.5,7500
ACGL,20081028,20.9267,22.6667,20.7833,22.5933,512800
ACHN,20081028,1.5,1.5,0.9,1.35,94300
ACIW,20081028,3.0667,3.9,2.9867,3.8667,387900
ACLS,20081028,1.6,1.68,1.48,1.48,574800
ACOR,20081028,16.58,18,15.79,17.85,552000
ACPW,20081028,2.4,2.4,2.1,2.3,84000
ACTG,20081028,2.08,2.23,2,2.04,51200
ACTS,20081028,1.9,1.91,1.73,1.81,527100
ACUR,20081028,5.65,5.71,5.13,5.71,25800
ACWI,20081028,29.48,31.2,28.63,31.2,244500
ACWX,20081028,27.05,28.6,26.34,28.6,52700
ACXM,20081028,7.26,8.04,7.25,8,771200
ADBE,20081028,24.23,27.15,23.93,27.08,10344200
ADES,20081028,1.905,2.01,1.575,1.67,125100
ADI,20081028,19.86,21.4,19.51,21.38,6286100
ADP,20081028,27.7962,30.7288,27.2608,30.4654,4164900
ADRA,20081028,17.98,18.44,16.86,18.44,20600
ADRD,20081028,15.39,16.28,15.1,16.17,19700
ADRE,20081028,22.76,24.77,21.9,24.77,781000
ADRU,20081028,15.06,15.83,14.88,15.83,15000
ADSK,20081028,21.41,23.36,20.27,23.24,4563400
ADTN,20081028,14.1,14.77,13.56,14.72,822200
AEHR,20081028,2.3,2.37,2.27,2.3,81000
AEIS,20081028,8.38,9.01,8.01,8.97,389400
AEPI,20081028,14.75,16.33,13.88,15.81,283400
AETI,20081028,2.4,2.4,2.4,2.4,2000
AEY,20081028,1.93,1.93,1.82,1.88,23200
AEZS,20081028,210,246,210,240,21700
AFAM,20081028,37.49,37.85,35,36.65,257300
AFSI,20081028,4.39,4.415,4.175,4.39,573900
AGEN,20081028,0.67,0.7,0.62,0.67,115200
AGII,20081028,27.03,29.88,26.87,29.8,135100
AGNC,20081028,16.75,17,15.35,16.98,162800
AGYS,20081028,3.77,4.01,3.35,4,189400
AHGP,20081028,17.99,18.35,17.36,17.97,78200
AHPI,20081028,4.01,4.3,3.76,4.19,7500
AIMC,20081028,7.69,7.83,6.74,7.62,135400
AINV,20081028,10.63,11.7,9.79,11.7,1022400
AIRM,20081028,5.47,5.5,4.9267,5.36,283400
AIRT,20081028,7.2,8,6.99,8,27100
AIXG,20081028,3.77,4.07,3.6,4.07,80700
AKAM,20081028,12.45,13.31,11.69,13.28,5084100
AKRX,20081028,2.39,2.7,2.37,2.43,363200
ALCO,20081028,39.5,40.03,38,40.03,13500
ALGN,20081028,5.87,6,5.36,5.98,714300
ALGT,20081028,33.51,35.98,33.06,35.25,293200
ALKS,20081028,8.94,9.41,8.52,9.34,866400
ALLT,20081028,2.21,2.23,2.15,2.2,10700
ALNY,20081028,19.46,20.21,18.04,20.16,515300
ALOG,20081028,36.56,39,35,38.72,200200
ALOT,20081028,7.2,7.2,7.2,7.2,5000
ALSK,20081028,9.3,9.37,8.81,9.18,426700
ALXN,20081028,18.68,18.835,16.75,18.435,1566200
AMAG,20081028,28.62,29.25,23.66,26.43,1095800
AMAT,20081028,11.69,12.46,11.19,12.44,26265200
AMCC,20081028,4.26,5,4.25,4.94,709700
AMCN,20081028,4.53,4.61,4.2,4.6,96700
AMD,20081028,3.11,3.14,2.65,2.84,24932300
AMED,20081028,48.1,50.04,43.57,47.5,1465400
AMGN,20081028,55.78,60,55.65,60,17302300
AMKR,20081028,3.42,3.5,3.1,3.5,2554100
AMNB,20081028,15.4,16.74,15.39,16.5,4600
AMOT,20081028,2.84,2.85,2.84,2.85,3500
AMOV,20081028,12.545,13.885,12.4,13.885,5600
AMPH,20081028,18.45,18.7,17,18.19,21700
AMRB,20081028,9.47,9.54,9.31,9.54,2800
AMRI,20081028,11.41,11.77,10.81,11.53,268900
AMRN,20081028,0.86,0.93,0.83,0.88,14500
AMSC,20081028,106.5,110.1,92.6,103.7,636300
AMSF,20081028,15.39,17.08,14.57,17.08,157400
AMSG,20081028,20.96,22.74,20.19,22.72,376200
AMSWA,20081028,4.1,4.25,3.76,4.24,78600
AMTD,20081028,10.87,11.94,10.02,11.93,3822900
AMWD,20081028,15.08,16.41,14.36,16.36,105600
AMZN,20081028,51.46,56.3,49.07,56.04,14843400
ANAT,20081028,62.99,71,61.5,70.27,49100
ANCX,20081028,5.92,5.92,4.59,4.97,1100
ANDE,20081028,18.5933,19.8667,18.2733,19.86,217200
ANGO,20081028,11.14,12.01,10.86,11.95,157400
ANIK,20081028,5.72,5.72,5.25,5.33,13400
ANSS,20081028,24.71,25.83,24,25.66,1430000
APEI,20081028,37.94,40.97,35.26,40.08,284200
APOG,20081028,7.98,8.28,7.61,8.25,325900
APOL,20081028,54.88,59.12,54.3,58.87,5144700
APPY,20081028,254.88,255.84,233.28,237.12,60200
ARAY,20081028,5.3,5.32,4.81,5.09,259300
ARCC,20081028,6.03,6.57,5.75,6.55,754900
ARCI,20081028,2.49,2.49,2.2,2.21,16700
ARCW,20081028,1.12,1.12,1.12,1.12,0
AREX,20081028,8.25,8.52,7.76,8.46,141700
ARIA,20081028,1.62,1.67,1.53,1.63,463300
ARII,20081028,8.48,8.81,7.88,8.24,71200
ARKR,20081028,13.1,13.1,12.81,12.81,5400
ARLP,20081028,14.53,14.735,14.09,14.355,205700
ARNA,20081028,3.29,3.58,2.8,3.07,1251000
AROW,20081028,23.42,24.88,23.1,23.72,35600
ARQL,20081028,1.94,2.34,1.78,2.1,258100
ARRS,20081028,4.69,4.86,4.47,4.77,3753800
ARRY,20081028,3.68,3.8,3.4,3.79,220500
ARTNA,20081028,14,14.78,13.97,14,10200
ARTW,20081028,3.45,4.02,3.45,3.6,6200
ARTX,20081028,0.74,0.83,0.64,0.75,26200
ARWR,20081028,1.05,1.05,0.99,1.03,50100
ASCMA,20081028,23.99,23.99,23.24,23.58,94400
ASFI,20081028,2.83,2.85,2.5,2.5,91800
ASML,20081028,15.94,16.92,15.3,16.9,3548500
ASRV,20081028,1.8,1.83,1.79,1.83,30900
ASRVP,20081028,19.63,19.63,19.63,19.63,0
ASTE,20081028,20.04,21.17,19.11,21.11,294200
ASUR,20081028,0.1133,0.1333,0.1067,0.1133,54300
ASYS,20081028,6.9,7,6.07,6.44,68800
ATAI,20081028,8.17,8.29,8.05,8.29,3900
ATAX,20081028,5.64,5.64,5.35,5.35,6300
ATEC,20081028,48.84,48.84,45,48,74800
ATHN,20081028,21.96,26.79,21.73,26.12,581400
ATHX,20081028,0.65,0.65,0.55,0.58,77700
ATLO,20081028,21.6,22.03,21.24,22.03,8600
ATNI,20081028,23.75,23.8,20.37,21.7,70800
ATRC,20081028,5.75,5.79,5.7,5.7,3800
ATRI,20081028,92.67,92.99,86.67,91.99,1600
ATRO,20081028,10.6917,10.6917,9.9083,10.1083,43000
ATSG,20081028,0.42,0.45,0.33,0.33,209900
ATVI,20081028,11.12,11.84,10.36,11.8,10939400
AUBN,20081028,22.41,22.41,22.41,22.41,0
AUDC,20081028,1.87,1.91,1.7,1.83,117100
AVAV,20081028,29.36,30.61,27.47,30.58,270500
AVID,20081028,14.52,14.52,13.15,14.2,443600
AWRE,20081028,2.41,2.56,2.39,2.44,39200
AXAS,20081028,1.56,1.8,1.56,1.72,282800
AXTI,20081028,1.29,1.33,1.25,1.29,24900
AZPN,20081028,6.1,7.85,6,7.4,411200
BABY,20081028,15.38,15.4,14,14.89,416100
BANF,20081028,45.54,48,43.66,48,37100
BANFP,20081028,23,23.6,23,23.6,1100
BANR,20081028,63.7,68.67,60.34,66.99,153600
BASI,20081028,3.75,3.75,3.75,3.75,1200
BBBY,20081028,23.23,24.95,21.94,24.76,9499200
BBGI,20081028,1.5,1.5,1.41,1.41,2600
BBOX,20081028,23.33,24.68,23.02,24.58,152200
BBRY,20081028,44,47.3,41.19,46.99,33486400
BBSI,20081028,9,9.52,9,9.52,34200
BCBP,20081028,12.75,12.75,11,12.75,300
BCPC,20081028,14.86,15.2,13.0533,14.1067,238500
BCRX,20081028,1.6,1.82,1.45,1.5,262700
BDGE,20081028,19.25,19.25,19.25,19.25,1100
BDSI,20081028,2.25,2.3,2.18,2.19,46500
BEAT,20081028,21.14,22.08,19.51,20,119400
BEAV,20081028,11.12,11.14,9.55,10.82,2796500
