<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20070313,3.24,3.49,3.24,3.49,6400
AAON,20070313,5.1405,5.1917,4.8519,4.8794,39100
AAPL,20070313,12.7714,12.9429,12.6286,12.6286,30994600
AAWW,20070313,50.23,51.49,49.52,49.76,185300
ABAX,20070313,22.81,22.81,22.27,22.57,192000
ABCB,20070313,24.28,24.37,23.36,23.47,63400
ABCO,20070313,25.715,25.715,25.16,25.385,113300
ABMD,20070313,13.26,13.31,12.93,13.08,135300
ABTL,20070313,18.6,18.7,17.75,17.75,55500
ACAD,20070313,6.94,7.16,6.82,6.99,221500
ACAS,20070313,43.75,43.81,42.3,42.41,1762500
ACAT,20070313,18.86,19,18.59,18.87,58900
ACET,20070313,8,8.28,8,8.12,27000
ACFC,20070313,18.5,18.6,18.5,18.54,15900
ACGL,20070313,21.9767,21.9767,21.6267,21.72,282900
ACHN,20070313,7.44,8,7.36,7.46,87400
ACLS,20070313,29.64,29.92,28.96,29.08,1574100
ACOR,20070313,19.32,19.49,18.23,18.33,349100
ACPW,20070313,9.9,10.05,9.05,9.3,429100
ACTG,20070313,14.77,14.92,14.26,14.37,169600
ACTS,20070313,7.12,7.2,7.03,7.07,276800
ACXM,20070313,21.65,21.74,21.15,21.3,437500
ADBE,20070313,39.31,39.6,38.65,38.65,5787400
ADES,20070313,7.235,7.5,7.15,7.19,38900
ADI,20070313,36.35,36.47,35.84,35.84,2655400
ADP,20070313,42.95,43.0464,42.2389,42.3266,2793100
ADRA,20070313,33.98,33.98,32.38,32.42,63100
ADRD,20070313,29.5,29.5,28.59,28.6,55900
ADRE,20070313,38.21,38.37,37.12,37.21,311900
ADRU,20070313,29.48,29.48,28.84,28.92,25400
ADSK,20070313,38.14,38.2,37.35,37.44,2534500
ADTN,20070313,23.69,24.09,23.38,23.45,1054300
AEHR,20070313,6.15,6.28,6.15,6.15,8900
AEIS,20070313,21,21.23,20.35,20.36,694700
AEPI,20070313,46.21,46.35,45.35,45.81,50900
AEZS,20070313,1968,1980,1872,1872,37000
AFAM,20070313,23.5,24.15,22.9,23.35,55800
AFSI,20070313,5.055,5.195,4.85,4.86,225100
AGEN,20070313,1.95,2.01,1.81,1.92,352300
AGII,20070313,33.95,33.97,33.37,33.76,170400
AGYS,20070313,22.45,22.45,20.88,21.17,390700
AHGP,20070313,23.36,23.99,23.36,23.87,52500
AHPI,20070313,6.06,6.17,6.05,6.14,4500
AIMC,20070313,14.78,14.79,13.78,14.35,69100
AINV,20070313,21.75,21.75,20.56,20.72,3183100
AIRM,20070313,8.2533,8.3333,8.1633,8.2033,242300
AIRT,20070313,7.76,7.76,7.52,7.53,19800
AIXG,20070313,6.69,6.71,6.48,6.57,171600
AKAM,20070313,52.33,53.36,51.49,51.5,6932900
AKRX,20070313,5.87,5.91,5.38,5.49,175000
ALCO,20070313,47.69,48.92,47.69,48.61,21200
ALGN,20070313,16.74,16.97,16.11,16.22,425900
ALGT,20070313,31.41,31.41,30.6,31.01,62200
ALKS,20070313,15.65,15.7,15.19,15.21,1089000
ALLT,20070313,9.13,9.32,9.13,9.3,93700
ALNY,20070313,18.08,18.23,17.2,17.3,413000
ALOG,20070313,60.93,61.13,59.33,59.44,117700
ALOT,20070313,11.01,11.35,10.92,11.15,5900
ALSK,20070313,14.25,14.95,14.14,14.46,727300
ALXN,20070313,18.655,18.795,18.125,18.14,542400
AMAG,20070313,58.08,58.12,56.64,56.94,326600
