<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20100301,1.35,1.4,1.35,1.35,1000
AAON,20100301,6.2963,6.4652,6.2963,6.4089,162000
AAPL,20100301,29.3929,29.9286,29.35,29.8557,19646100
AAWW,20100301,45.25,46.78,45.09,46.67,651500
AAXJ,20100301,53.29,53.73,53.29,53.54,136000
ABAX,20100301,25.57,26,25.3,25.99,158000
ABCB,20100301,9.57,9.71,9.53,9.68,21000
ABCD,20100301,3.7,3.78,3.7,3.71,23700
ABCO,20100301,15.915,16.09,15.745,16,73800
ABIO,20100301,127.68,133.98,119.7,126,15500
ABMD,20100301,10.18,10.41,10.12,10.16,156800
ABTL,20100301,5.5,5.55,5.3,5.3,107400
ACAD,20100301,1.29,1.33,1.26,1.33,276500
ACAS,20100301,4.34,4.49,3.95,4.34,16121700
ACAT,20100301,10.82,11.05,10.77,11.04,80400
ACET,20100301,5.28,5.42,5.25,5.4,125200
ACFC,20100301,1.61,1.72,1.56,1.6,4500
ACGL,20100301,24.8267,25,24.72,25,498700
ACHN,20100301,2.36,2.38,2.25,2.27,134000
ACIW,20100301,6.04,6.15,6.0067,6.0933,302400
ACLS,20100301,6.64,6.84,6.64,6.84,458500
ACOR,20100301,30.17,32.49,30.17,32.32,846200
ACPW,20100301,3.85,4.4,3.75,3.75,480400
ACTG,20100301,9.99,10.5,9.91,10.39,343700
ACTS,20100301,2.21,2.29,2.21,2.26,55400
ACUR,20100301,4.95,5.16,4.62,4.94,27100
ACWI,20100301,41.17,41.49,41.08,41.49,2895100
ACWX,20100301,39.16,39.52,39.1,39.48,101000
ACXM,20100301,16.95,17.5,16.92,17.46,1191900
ADBE,20100301,34.63,35,34.53,34.89,4964900
ADES,20100301,2.835,2.9,2.75,2.87,4200
ADI,20100301,29.31,29.85,29.3,29.82,3629300
ADP,20100301,36.5934,36.8745,36.5057,36.8481,2911300
ADRA,20100301,25.24,25.38,25.24,25.38,4700
ADRD,20100301,20.09,20.21,20.02,20.21,4300
ADRE,20100301,41.59,41.81,41.44,41.75,77900
ADRU,20100301,19.62,19.71,19.54,19.7,2600
ADSK,20100301,27.97,28.41,27.97,28.15,3607000
ADTN,20100301,23.46,23.83,23.42,23.66,764900
ADUS,20100301,7.92,8.16,7.92,8.02,15300
AEHR,20100301,2.56,2.64,2.51,2.52,35000
