<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20100826,1.21,1.25,1.18,1.25,12500
AAON,20100826,6.2489,6.3348,6.2489,6.2933,46700
AAPL,20100826,35.0643,35.1071,34.3257,34.3257,16660800
AAWW,20100826,44.15,45.68,44.06,45.08,485000
AAXJ,20100826,54.53,54.9,54.22,54.24,703100
ABAX,20100826,18.77,18.84,18.22,18.25,51000
ABCB,20100826,8.06,8.14,7.97,8.05,60700
ABCD,20100826,3.09,3.09,2.93,2.94,8300
ABCO,20100826,20.325,20.55,20.195,20.5,116900
ABIO,20100826,141.96,150.78,141.54,144.06,28500
ABMD,20100826,9,9.14,8.96,9.01,108700
ABTL,20100826,4.25,4.45,4.15,4.4,8600
ACAD,20100826,1.04,1.05,1.01,1.01,157800
ACAS,20100826,5.02,5.09,4.94,4.95,2562000
ACAT,20100826,7.85,7.9,7.56,7.58,25600
ACET,20100826,5.64,5.74,5.38,5.41,55100
ACFC,20100826,2.34,2.4,2.34,2.4,2800
ACGL,20100826,26.3333,26.4967,26.2133,26.2467,295300
ACHN,20100826,2.6,2.66,2.6,2.63,14600
ACIW,20100826,6.5,6.5433,6.4467,6.5067,115500
ACLS,20100826,5.88,5.96,5.56,5.56,355600
ACOR,20100826,29.87,30.11,29.39,29.53,270300
ACPW,20100826,5.65,5.65,5.15,5.15,130300
ACTG,20100826,15.96,15.97,15.37,15.55,226800
ACTS,20100826,2.13,2.14,2.08,2.1,111800
ACUR,20100826,2.47,2.47,2.36,2.36,23000
ACWI,20100826,39.51,39.66,39.07,39.11,153000
ACWX,20100826,37.52,37.69,37.17,37.28,49300
ACXM,20100826,13.1,13.39,13.01,13.04,468200
ADBE,20100826,27.65,27.78,27.12,27.38,12818100
ADES,20100826,2.665,2.665,2.59,2.59,12100
ADI,20100826,29.1,29.24,28.7,28.96,5505500
ADP,20100826,34.2493,34.3986,33.9245,34.0212,2588100
ADRA,20100826,23.82,24.02,23.77,23.78,2200
ADRD,20100826,18.74,18.85,18.59,18.69,10900
ADRE,20100826,40.86,41.02,40.36,40.41,137400
ADRU,20100826,18.64,18.64,18.37,18.43,7400
ADSK,20100826,27.74,28.01,27.38,27.4,2565200
ADTN,20100826,30.26,30.5,29.88,29.98,466100
ADUS,20100826,5.06,5.06,4.7,4.75,3200
AEHR,20100826,1.22,1.27,1.22,1.23,2600
AEIS,20100826,15.42,15.59,14.73,14.76,360700
AEPI,20100826,24.77,24.77,23.81,24.18,17100
AETI,20100826,2.22,2.22,2.22,2.22,0
AEY,20100826,2.84,2.85,2.7,2.78,14000
AEZS,20100826,582,594,570,570,520300
AFAM,20100826,26.06,26.35,25.34,25.68,59900
AFSI,20100826,6.78,6.835,6.655,6.74,90300
AGEN,20100826,0.88,0.88,0.77,0.77,895900
AGII,20100826,30.02,30.5,30.02,30.11,104500
AGNC,20100826,27.4,27.5,27.08,27.08,684600
AGYS,20100826,4.54,4.63,4.36,4.4,101500
AHGP,20100826,38.5,38.5,38.24,38.37,24900
AHPI,20100826,3.3,3.3,3.3,3.3,0
AIMC,20100826,13.14,13.34,12.74,12.76,104500
AINV,20100826,9.45,9.5,9.17,9.18,1427400
AIRM,20100826,11.8533,11.9967,11.65,11.7833,220300
AIRT,20100826,8.91,8.92,8.86,8.86,4100
AIXG,20100826,25.19,25.34,24.61,24.75,248400
AKAM,20100826,47.45,47.88,46.38,46.42,4053100
AKRX,20100826,3.26,3.35,3.16,3.2,262800
ALCO,20100826,21.6,21.64,20.59,20.76,16900
ALGN,20100826,16.29,16.51,16.13,16.24,420100
ALGT,20100826,38.13,38.75,37.72,38.52,170800
ALIM,20100826,8.22,8.42,8.1,8.3,52000
ALKS,20100826,13.5,13.5,13.25,13.35,445500
ALLT,20100826,4.94,4.98,4.9,4.97,12300
ALNY,20100826,14.23,14.23,13.91,13.94,120800
ALOG,20100826,41.23,41.64,40.83,41.24,30600
ALOT,20100826,6.91,7.2,6.9,6.9,5000
ALSK,20100826,9.5,9.59,9.29,9.29,391000
ALXN,20100826,28.335,28.475,27.885,27.97,369200
AMAG,20100826,29.4,29.47,27.8,27.98,192500
AMAT,20100826,10.75,10.81,10.51,10.53,25303200
AMCC,20100826,11.45,11.64,11.19,11.25,665100
AMCN,20100826,3.75,3.81,3.48,3.51,157400
AMD,20100826,6.19,6.22,5.83,5.87,28964600
AMED,20100826,25.24,25.35,24.46,24.48,457400
AMGN,20100826,51.96,52.07,50.73,50.93,5272700
AMKR,20100826,5.53,5.55,5.21,5.25,3403000
AMNB,20100826,19.02,19.09,18.83,18.83,2400
AMOT,20100826,4.21,4.21,4.21,4.21,1100
AMOV,20100826,23.345,23.36,23.345,23.36,200
AMPH,20100826,26.16,26.2,25.79,25.88,18800
AMRB,20100826,6,6.01,5.87,6.01,4400
AMRI,20100826,6.43,6.5,6.41,6.43,116400
AMRN,20100826,2.97,3,2.82,2.82,151200
AMSC,20100826,275,277.8,266.2,267.2,341300
AMSF,20100826,17.64,17.78,17.23,17.26,81300
AMSG,20100826,17,17.15,16.68,16.7,71300
AMSWA,20100826,5.04,5.06,4.98,5.01,40400
AMTD,20100826,15.12,15.23,14.71,14.73,3723200
AMWD,20100826,15.7,15.7,15.21,15.32,20200
AMZN,20100826,127.15,127.59,124.82,124.86,4699200
ANAT,20100826,77.6,77.96,75.92,75.95,17900
ANCX,20100826,6.35,6.37,6.26,6.26,300
ANDE,20100826,24.9733,25.0933,23.9733,24.3667,236500
ANGO,20100826,15.5,15.5,15.1,15.16,71900
ANIK,20100826,5.07,5.12,4.95,5,12700
ANSS,20100826,40.3,40.47,39.57,39.76,423600
ANTH,20100826,31.6,31.6,30.48,30.48,3700
AOSL,20100826,10.64,10.87,10.47,10.58,38000
APEI,20100826,24.79,26.01,24.57,25.56,221600
APOG,20100826,9.52,9.68,9.28,9.34,325600
APOL,20100826,43.12,43.18,42.02,42.32,2787400
APPY,20100826,28.8,28.8,27.36,27.36,134600
ARAY,20100826,6.55,6.63,6.36,6.39,162000
ARCC,20100826,14.5,14.86,14.47,14.5,1557100
ARCI,20100826,2.52,2.52,2.25,2.3,1500
ARCW,20100826,1.116,1.116,1.116,1.116,0
AREX,20100826,7.92,8.32,7.84,8.27,213600
ARIA,20100826,3.43,3.48,3.18,3.24,1139000
ARII,20100826,10.98,11.33,10.98,11.19,101500
ARKR,20100826,13.49,13.5,13.49,13.5,500
ARLP,20100826,27.125,27.165,26.815,27.04,74900
ARNA,20100826,6.9,6.93,6.58,6.59,4975400
AROW,20100826,23.01,23.25,22.63,22.64,49000
ARQL,20100826,4.46,4.97,4.46,4.86,791000
ARRS,20100826,8.55,8.69,8.45,8.45,1199800
ARRY,20100826,2.79,2.8,2.65,2.67,183700
ARTNA,20100826,17.7,17.71,17.51,17.71,5700
ARTW,20100826,5.03,5.9,4.99,5.49,8000
ARTX,20100826,1.5,1.5,1.48,1.5,1000
ARWR,20100826,0.9,0.93,0.85,0.85,297100
ASCMA,20100826,26.81,27.26,26.24,26.3,29800
ASFI,20100826,8.38,8.38,8.01,8.02,32600
ASML,20100826,26.71,26.86,26.23,26.32,1513600
ASPS,20100826,27.12,27.12,26.37,26.39,118800
ASRV,20100826,1.8,1.82,1.75,1.82,101500
ASRVP,20100826,23.25,23.25,23.25,23.25,400
ASTC,20100826,1.31,1.32,1.27,1.32,76400
ASTE,20100826,26.26,26.79,25.79,25.85,98800
ASUR,20100826,1.6867,1.7133,1.6333,1.7067,6000
ASYS,20100826,13.54,13.87,12.64,12.77,155200
ATAI,20100826,2.86,2.95,2.85,2.85,2100
ATAX,20100826,5.56,5.62,5.53,5.59,110100
ATEC,20100826,25.8,25.92,24.96,25.2,458400
ATHN,20100826,28.37,28.81,27.75,27.81,285800
ATHX,20100826,2.5,2.62,2.47,2.55,122400
ATLO,20100826,17,17.08,16.91,16.91,5700
ATNI,20100826,42.77,43.2,42.08,42.26,28200
ATRC,20100826,7.27,8,7.27,7.77,48600
ATRI,20100826,136.3,136.3,136.3,136.3,100
ATRO,20100826,12.2917,12.6333,11.675,11.6917,52600
ATSG,20100826,4.72,4.77,4.52,4.53,446100
ATVI,20100826,10.99,11.09,10.75,10.78,10516500
AUBN,20100826,20.6,20.6,20.6,20.6,200
AUDC,20100826,2.6,2.63,2.5,2.52,62900
AVAV,20100826,23.24,23.33,22.8,22.93,90000
AVEO,20100826,7.47,7.75,7.47,7.71,20100
AVGO,20100826,20.52,21.02,20.26,20.6,776800
AVID,20100826,11.33,11.41,11.1,11.12,44600
AVNW,20100826,45.24,49.2,44.4,48,735000
AWRE,20100826,2.19,2.23,2.17,2.21,3800
AXAS,20100826,2.52,2.57,2.4,2.4,291900
AXTI,20100826,5.58,5.62,5.23,5.24,403100
AZPN,20100826,9.5,9.55,9.32,9.42,127800
BABY,20100826,12.1,12.15,11.73,11.75,223000
BANF,20100826,36.11,36.42,35.26,35.29,23600
BANFP,20100826,26.4,26.4,26.4,26.4,500
BANR,20100826,14.35,14.56,14.07,14.21,536700
BASI,20100826,0.88,0.88,0.88,0.88,400
BBBY,20100826,37.55,37.64,36.6,36.67,2634100
BBGI,20100826,3.78,3.78,3.44,3.44,9500
BBOX,20100826,29.14,29.35,28.67,28.92,63300
BBRY,20100826,48.07,48.65,46.72,46.84,12077100
BBSI,20100826,13.49,13.49,13,13.07,23100
BCBP,20100826,8.62,8.75,8.61,8.7,14200
BCOM,20100826,21.31,21.31,21.02,21.27,700
BCPC,20100826,24.33,24.56,23.97,23.99,64100
BCRX,20100826,4.68,4.75,4.54,4.55,304600
BDE,20100826,6.09,6.2,6.03,6.03,19500
BDGE,20100826,22.27,22.5,21.95,21.99,7700
BDSI,20100826,2.27,2.34,2.2,2.2,101700
BEAT,20100826,4.46,4.6,4.46,4.53,84800
BEAV,20100826,26.72,27.41,26.61,26.74,638700
BEBE,20100826,5.6,5.79,5.57,5.6,933300
BECN,20100826,14.12,14.16,13.74,13.76,452000
BELFA,20100826,18.46,18.57,18.22,18.22,1400
BELFB,20100826,18.34,18.34,17.57,17.6,10300
BFIN,20100826,8.75,8.81,8.66,8.8,66200
BGCP,20100826,5.12,5.45,5,5.28,904900
BGFV,20100826,11.82,11.94,11.6,11.72,56700
BIB,20100826,5.4575,5.4575,5.2913,5.2913,500
BICK,20100826,28.07,28.33,27.83,27.93,40100
BIDU,20100826,79.4,79.43,76.59,76.6,6350700
BIIB,20100826,55.5,55.5,53.82,53.91,2401900
BIOC,20100826,9.96,10.2,9.96,10.08,32600
BIOS,20100826,5,5.09,4.9,4.95,519400
BIS,20100826,292.68,302.4,292.68,302.4,400
BJRI,20100826,24.58,24.74,24.34,24.51,89200
