<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20080702,1.64,1.65,1.64,1.65,15200
AAON,20080702,5.6711,5.8459,5.3155,5.3897,146900
AAPL,20080702,25.0186,25.35,24.0257,24.0257,29951700
AAWW,20080702,46.77,47.37,45.28,45.39,402600
ABAX,20080702,24.46,24.8,23.4,23.93,408000
ABCB,20080702,8.98,9.29,8.72,8.82,65000
ABCO,20080702,19.985,20.26,19.635,20.21,204500
ABMD,20080702,17.47,18,17.3,17.8,323800
ABTL,20080702,6.85,7.2,6.8,7.2,34600
ACAD,20080702,3.42,3.54,3.2,3.31,392700
ACAS,20080702,23.85,24.85,23.17,23.2,3538900
ACAT,20080702,8,8.23,7.82,7.82,141500
ACET,20080702,7.35,7.54,6.78,6.78,115500
ACFC,20080702,7.33,7.37,7.33,7.37,13200
ACGL,20080702,22.3333,22.6667,22.3133,22.5167,290400
ACHN,20080702,2.07,2.19,2.05,2.06,25200
ACIW,20080702,5.7133,5.8167,5.5933,5.6033,396600
ACLS,20080702,20.56,20.72,19.56,19.68,1256300
ACOR,20080702,33.38,33.72,32.25,32.48,936400
ACPW,20080702,4.9,5.4,4.85,5.25,365300
ACTG,20080702,4.23,4.41,4.23,4.23,87800
ACTS,20080702,3.28,3.46,3.28,3.37,110000
ACUR,20080702,7.03,7.06,5.79,5.9,112900
ACWI,20080702,49.29,49.29,48.18,48.27,8000
ACWX,20080702,49.31,49.32,49.31,49.31,102200
ACXM,20080702,12.01,12.06,11.44,11.44,836000
ADBE,20080702,40.54,41.3,39.81,39.81,7182600
ADES,20080702,4.63,4.65,4.63,4.65,3200
ADI,20080702,31.8,33.1,30.99,31.24,4957900
ADP,20080702,37.4889,37.8666,36.8745,36.9622,4467900
ADRA,20080702,30.74,30.87,30,30,19700
ADRD,20080702,27.28,27.48,26.79,26.79,8300
ADRE,20080702,50.85,51.05,48.84,48.84,726300
ADRU,20080702,27.22,27.34,26.67,26.67,12300
ADSK,20080702,34.52,34.62,33.57,33.65,5327100
ADTN,20080702,24.22,24.29,23.81,24.01,816700
AEHR,20080702,8.1,8.13,7.75,8.05,130100
AEIS,20080702,14.16,14.44,13.8,13.85,236300
AEPI,20080702,16.94,17.1,16.62,17,18600
AETI,20080702,5.25,5.43,5.01,5.43,4300
AEY,20080702,3,3,2.77,2.87,51000
AEZS,20080702,600,648,600,624,20400
AFAM,20080702,26.64,26.95,26.01,26.25,124900
AFSI,20080702,6.335,6.505,6.175,6.175,125000
AGEN,20080702,1.9,1.96,1.85,1.93,168700
AGII,20080702,34,34.61,33.98,34.56,192300
AGNC,20080702,16.52,16.89,16.3,16.65,114800
AGYS,20080702,11.39,11.9,11.1,11.21,263700
AHGP,20080702,29.73,30.72,28.04,28.34,61300
AHPI,20080702,6.99,6.99,6.99,6.99,0
AIMC,20080702,16.95,17.22,15.73,15.98,323100
AINV,20080702,14.03,14.22,13.65,13.68,1856800
AIRM,20080702,8.2567,8.5333,7.9,7.9733,314500
AIRT,20080702,10.28,10.29,9.72,9.88,18700
AIXG,20080702,10.02,10.02,9.69,9.74,105600
AKAM,20080702,35.69,35.72,33.67,33.8,5551500
AKRX,20080702,3.26,3.28,3.16,3.22,237000
ALCO,20080702,36.75,37.02,35.18,36.23,31000
ALGN,20080702,10.85,11.39,10.84,11.22,1085800
ALGT,20080702,17.13,18.5,17.13,17.5,386500
ALKS,20080702,12.43,12.62,12.29,12.53,1306600
ALLT,20080702,2.81,2.9,2.81,2.88,8500
ALNY,20080702,27.4,29.29,27.33,28.77,927000
ALOG,20080702,63.82,65.76,62.88,63.13,157800
ALOT,20080702,9.25,9.65,9.25,9.25,2800
ALSK,20080702,12.07,12.25,12.02,12.09,397100
ALXN,20080702,37.315,38,36.91,37.025,1260200
AMAG,20080702,36.51,38.99,35.98,37.82,692900
AMAT,20080702,19.3,19.4,18.71,18.8,19903700
AMCC,20080702,8.35,8.4,7.83,7.89,1016600
AMCN,20080702,14.21,14.33,13.75,13.8,221000
AMD,20080702,5.77,5.84,5.42,5.44,24071200
AMED,20080702,51.26,51.79,49.8,50.04,697700
AMGN,20080702,48.5,49.26,48.28,48.84,14298900
AMKR,20080702,10.73,10.77,10.21,10.25,3065600
AMNB,20080702,18.19,18.2,17.75,17.75,2400
AMOT,20080702,5.55,5.55,5.55,5.55,800
AMOV,20080702,25.88,26.22,25.6,25.6,3700
AMPH,20080702,21.89,22.48,21.77,21.77,6700
AMRB,20080702,9.1,9.5,9,9.4,5400
AMRI,20080702,13.16,13.43,12.65,12.87,193400
AMRN,20080702,1.87,1.99,1.87,1.98,13000
AMSC,20080702,358.1,358.9,331.2,336.5,1273500
AMSF,20080702,16.22,16.57,16.19,16.29,317500
AMSG,20080702,25.39,25.65,25.08,25.42,457900
AMSWA,20080702,5.4,5.54,5.35,5.37,109100
AMTD,20080702,18.3,18.56,18.05,18.06,3428000
AMWD,20080702,20.2,20.54,19.5,19.85,123000
AMZN,20080702,74.05,74.41,71.38,71.44,7044900
ANAT,20080702,98.05,99.95,98.05,98.05,11000
ANCX,20080702,6.5,6.5,6.3,6.43,3200
ANDE,20080702,26.7467,27.3133,26.0867,26.1467,526600
ANGO,20080702,13.61,13.81,13.42,13.48,246700
ANIK,20080702,8.43,8.79,8.09,8.12,14400
ANSS,20080702,45.01,45.24,42.27,42.31,1750200
APEI,20080702,40.65,42,39.25,40.69,158800
APOG,20080702,16.06,16.41,15.28,15.48,732500
APOL,20080702,55.19,57.94,53.94,54.78,14316100
APPY,20080702,290.88,299.52,281.76,283.68,114800
ARAY,20080702,7.04,7.09,6.85,6.85,490000
ARCC,20080702,10.03,10.1,9.8,9.88,1462000
ARCI,20080702,7.33,7.33,6.4,6.62,18700
ARCW,20080702,1.84,1.84,1.78,1.78,3700
AREX,20080702,29.81,29.82,26.58,27.65,362100
ARIA,20080702,2.26,2.3,2.1,2.25,818900
ARII,20080702,17.11,17.35,16.28,16.5,133600
ARKR,20080702,25.9,26.44,25.9,26.24,300
ARLP,20080702,27.765,27.81,25,25.425,389500
ARNA,20080702,5.29,5.5,5.2,5.4,1225700
AROW,20080702,18.8,19.34,18.31,18.31,38100
ARQL,20080702,3.2,3.23,3.03,3.1,192500
ARRS,20080702,8.6,8.68,8.46,8.49,1946500
ARRY,20080702,5.08,5.1,4.84,4.9,242200
ARTNA,20080702,18.21,18.24,18.13,18.13,1700
ARTW,20080702,19,19.02,18.5,18.95,2700
ARTX,20080702,2,2.04,1.98,2.04,28200
ARWR,20080702,2.57,2.82,2.56,2.58,169100
ASFI,20080702,8.79,9.5,8.73,9.1,180300
ASML,20080702,24.53,24.6,23.46,23.48,3601400
ASRV,20080702,2.86,2.96,2.86,2.92,12600
ASRVP,20080702,23.5,23.5,23.5,23.5,0
ASTE,20080702,32.25,32.29,30.03,30.16,396300
ASUR,20080702,0.2467,0.26,0.24,0.24,104600
ASYS,20080702,10.81,10.81,9.79,9.94,86900
ATAI,20080702,12.45,12.6,12.3,12.31,33300
ATAX,20080702,6.66,6.73,6.53,6.67,5100
ATEC,20080702,47.88,51.96,45.6,46.92,100800
ATHN,20080702,30.76,30.89,26.82,27.13,478100
ATHX,20080702,2.4,2.45,2.25,2.3,4900
ATLO,20080702,16.57,17.48,16.5,16.51,27400
ATNI,20080702,27.13,27.48,26.58,26.82,93000
ATRC,20080702,10.93,11.05,10.49,10.82,4200
ATRI,20080702,89,89.71,85.96,86.51,5000
ATRO,20080702,11.5,11.675,11.25,11.3083,53600
ATSG,20080702,0.97,1,0.95,0.98,306500
ATVI,20080702,17.455,17.485,15.725,15.79,6512600
AUBN,20080702,23,23,23,23,0
AUDC,20080702,3.7,3.75,3.54,3.61,231500
AVAV,20080702,27.76,29.14,27.31,29.02,418500
AVID,20080702,17.15,17.28,16.8,16.92,229500
AWRE,20080702,3.01,3.07,2.97,3.01,7900
AXTI,20080702,4.04,4.25,3.9,4.25,143800
AZPN,20080702,12.75,13,12.68,12.74,87400
BABY,20080702,21.55,22.42,21.55,21.97,343400
BANF,20080702,44.06,44.7,42.59,42.68,28100
BANFP,20080702,22,23.75,22,23.75,500
BANR,20080702,57.75,60.62,55.09,55.09,393700
BASI,20080702,5.1,5.1,5.1,5.1,0
BBBY,20080702,29.02,29.36,27.96,28.01,6741700
BBGI,20080702,4.18,4.26,4.18,4.18,1000
BBOX,20080702,27.93,27.93,26.83,27.01,103500
BBRY,20080702,124.01,124.5,115.91,116.2,21295700
BBSI,20080702,11.75,11.86,11.67,11.7,63900
BCBP,20080702,13.25,13.25,13.25,13.25,0
BCPC,20080702,16.6733,16.7267,16.2867,16.7267,1553400
BCRX,20080702,2.68,2.85,2.61,2.74,80900
BDGE,20080702,21.25,21.25,20.84,20.84,1700
BDSI,20080702,2.3,2.3,2.1,2.1,25200
BEAT,20080702,25.23,28.82,25.23,26.88,29700
BEAV,20080702,23.14,23.24,21.54,21.55,1837000
BEBE,20080702,9.8,9.9,9.48,9.51,631700
BECN,20080702,10.63,10.75,10.27,10.27,461500
BELFA,20080702,27.5,27.68,27.5,27.68,1900
BELFB,20080702,24.87,25.07,23.93,23.96,71700
BFIN,20080702,13.43,13.81,13.25,13.38,72500
BGCP,20080702,7.33,7.65,7.15,7.31,343700
BGFV,20080702,7.57,7.63,7.15,7.2,153600
BIDU,20080702,32.146,33.066,31.018,31.204,3799500
BIIB,20080702,59.25,59.38,57.88,58.36,3123500
BIOS,20080702,2.68,2.68,2.31,2.32,254600
BJRI,20080702,9.7,9.86,9.15,9.18,263600
BKCC,20080702,9.1,9.2,9,9.01,62700
BKMU,20080702,10.38,10.38,10.08,10.15,214200
BKSC,20080702,12.74,12.75,12.74,12.75,900
BLDP,20080702,4.21,4.21,3.99,4.03,335000
BLDR,20080702,5.08,5.21,4.89,4.93,177600
