<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20080708,1.65,1.66,1.63,1.66,2900
AAON,20080708,5.3333,5.4637,5.283,5.3333,169700
AAPL,20080708,25.0571,25.6714,24.6771,25.65,31738900
AAWW,20080708,44.1,45.41,43.86,45.25,380300
ABAX,20080708,23.6,24.38,23.6,24.23,208200
ABCB,20080708,8.22,9.45,8.19,9.45,46600
ABCO,20080708,19.85,20.155,19.56,19.95,176300
ABMD,20080708,17.71,18.07,17.55,17.91,278400
ABTL,20080708,7.05,7.05,6,6.2,147000
ACAD,20080708,3.73,3.99,3.49,3.51,697700
ACAS,20080708,21.49,23.14,21.1,23.08,4034300
ACAT,20080708,7.65,7.7,7.35,7.57,212900
ACET,20080708,6.8,7.07,6.53,7.07,69800
ACFC,20080708,7.05,7.24,6.84,6.84,2800
ACGL,20080708,21.6533,22.6433,21.6533,22.6433,551500
ACHN,20080708,2.1,2.18,2.02,2.02,46200
ACIW,20080708,5.55,5.7033,5.4167,5.6933,297600
ACLS,20080708,20.12,20.12,19.56,20,542000
ACOR,20080708,31.69,33,30.99,32.6,1056800
ACPW,20080708,5.05,5.05,4.8,4.95,146000
ACTG,20080708,4.43,4.71,4.15,4.57,203200
ACTS,20080708,3.35,3.52,3.35,3.5,72500
ACUR,20080708,6.57,8.34,6.55,7.84,33400
ACWI,20080708,47.75,48.12,47.25,48.12,3000
ACWX,20080708,48.42,49.39,48.03,49.39,63400
ACXM,20080708,11.33,12.25,11.33,12.25,609700
ADBE,20080708,39.46,39.78,38.73,39.64,8355800
ADES,20080708,4.645,4.645,4.45,4.63,13500
ADI,20080708,30.98,31.2,30.26,31.06,7270500
ADP,20080708,36.9975,37.4539,36.7077,37.4452,3413600
ADRA,20080708,30,30.28,29.67,30.13,67500
ADRD,20080708,26.69,26.96,26.54,26.96,222100
ADRE,20080708,47.86,48.38,47.13,48.33,948600
ADRU,20080708,26.73,27.01,26.59,27.01,55300
ADSK,20080708,33.55,34.62,33.42,34.6,2721000
ADTN,20080708,24.66,26.12,24.66,26.06,1831600
AEHR,20080708,6.71,7.12,6.49,7.05,146600
AEIS,20080708,14.24,14.69,14.09,14.55,315000
AEPI,20080708,17.06,17.7,16.35,17.5,26300
AETI,20080708,5.51,5.51,5.12,5.42,1400
AEY,20080708,2.76,2.8,2.67,2.75,43600
AEZS,20080708,630,666,624,648,5600
AFAM,20080708,25.89,26.38,25.17,26.24,154200
AFSI,20080708,5.93,6.04,5.82,6.015,258200
AGEN,20080708,1.75,1.84,1.75,1.82,107500
AGII,20080708,34.64,35.45,34.5,35.19,143700
AGNC,20080708,15.03,15.89,14.9,15.5,278000
AGYS,20080708,11.27,11.44,11.07,11.41,165000
AHGP,20080708,27.17,27.61,26.55,26.8,63700
AHPI,20080708,6.57,6.85,6.57,6.71,800
AIMC,20080708,15.94,16.72,15.35,16.7,202600
AINV,20080708,13.34,14.13,13.2,14.13,1403700
