<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20070315,3.7,3.7,3.64,3.69,3700
AAON,20070315,5.4921,5.6995,5.4921,5.587,59500
AAPL,20070315,12.8514,12.9086,12.7586,12.7957,19982000
AAWW,20070315,51.28,52.25,51.13,52.02,308600
ABAX,20070315,22.62,22.9,22.59,22.84,108900
ABCB,20070315,24.32,24.43,23.61,24.29,19500
ABCO,20070315,25.485,25.8,25.485,25.75,59700
ABMD,20070315,12.62,12.69,12.29,12.31,592600
ABTL,20070315,17.5,18.45,17.4,18.35,81700
ACAD,20070315,6.9,7.17,6.63,6.73,388800
ACAS,20070315,43.31,44.37,43.31,43.97,1213300
ACAT,20070315,18.86,19.16,18.75,19.11,54400
ACET,20070315,7.99,8.11,7.99,8.07,14600
ACFC,20070315,18.2,18.2,18.03,18.05,9200
ACGL,20070315,21.4233,21.6733,21.39,21.53,178000
ACHN,20070315,7.04,7.2,7.02,7.02,37400
ACLS,20070315,29.44,30.04,29.4,30,903900
ACOR,20070315,17.97,17.97,17.36,17.47,183300
ACPW,20070315,9.1,9.75,9.1,9.15,395300
ACTG,20070315,14.32,14.59,14.22,14.59,104900
ACTS,20070315,7.1,7.1,7,7.09,284400
ACXM,20070315,21.33,21.47,21.32,21.44,167900
ADBE,20070315,39.25,39.52,38.57,38.62,5087600
ADES,20070315,6.925,7,6.925,7,14800
ADI,20070315,35.41,35.54,35.2,35.39,2015100
ADP,20070315,42.3442,42.7744,42.3179,42.5286,1888000
ADRA,20070315,32.41,32.8,32.41,32.71,8000
ADRD,20070315,28.49,28.87,28.49,28.83,6300
ADRE,20070315,37.72,38.06,37.58,37.89,191400
ADRU,20070315,28.9,29.11,28.88,29.11,4600
ADSK,20070315,37.81,38.04,37.34,37.6,2257400
ADTN,20070315,23.8,24.09,23.67,24.06,926000
AEHR,20070315,6.23,6.46,6.2,6.2,4000
AEIS,20070315,20.5,20.81,20.38,20.69,353100
AEPI,20070315,45.8,48,45.25,45.95,37700
AEZS,20070315,1842,1884,1830,1866,23600
AFAM,20070315,25.14,25.92,24.89,25.45,76100
AFSI,20070315,5.015,5.155,5.01,5.115,106800
AGEN,20070315,1.98,2.05,1.98,2,145300
AGII,20070315,35.52,37.22,33.79,33.95,709400
AGYS,20070315,21.56,22.17,21.55,22.08,327500
AHGP,20070315,23.83,24.25,23.52,24.01,62000
AHPI,20070315,6.17,6.19,5.98,5.98,3900
AIMC,20070315,14.3,14.3,14,14.03,105600
AINV,20070315,21.23,21.71,21.2,21.7,806300
AIRM,20070315,8.2867,8.43,8.2333,8.2733,121300
AIRT,20070315,7.82,7.89,7.81,7.89,24100
AIXG,20070315,6.72,6.93,6.62,6.8,207800
AKAM,20070315,51.88,52.06,50.95,51.43,2897000
AKRX,20070315,5.56,5.61,5.36,5.44,155700
ALCO,20070315,49.53,50.04,49.51,50.04,9200
ALGN,20070315,16.73,16.95,16.49,16.58,273200
ALGT,20070315,30.59,32,30.59,32,50700
ALKS,20070315,15.05,15.33,14.98,15.29,678800
ALLT,20070315,9.41,9.43,9.04,9.05,21200
ALNY,20070315,17.59,17.6,17.04,17.39,179100
ALOG,20070315,60.12,61.03,59.83,60.46,66800
ALOT,20070315,11.09,11.96,11.09,11.94,18500
ALSK,20070315,14.66,14.95,14.55,14.8,206800
ALXN,20070315,18.515,18.77,18.445,18.685,467500
AMAG,20070315,56.79,56.86,55.81,56.52,242500
AMAT,20070315,18.42,18.59,18.33,18.56,14709300
AMCC,20070315,3.39,3.45,3.37,3.44,3756100
AMD,20070315,14.09,14.23,13.92,13.93,14536100
AMED,20070315,31.21,31.86,30.82,31.78,127200
AMGN,20070315,60.55,60.94,59.79,60.01,11289400
AMKR,20070315,11.68,11.86,11.68,11.85,1857200
AMNB,20070315,22.5,22.5,22.44,22.44,1400
AMOT,20070315,5.64,5.85,5.4,5.85,16700
AMOV,20070315,22.225,22.49,22.125,22.315,3800
AMPH,20070315,17.25,17.25,17.25,17.25,100
AMRB,20070315,24.76,24.77,24.28,24.39,23200
AMRI,20070315,9.74,9.99,9.53,9.65,169500
AMRN,20070315,2.54,2.7,2.51,2.55,602200
AMSC,20070315,136.7,137.8,133.9,135,183700
AMSF,20070315,17.52,18.29,17.52,18.1,213400
AMSG,20070315,23.78,24.02,23.75,24,204200
AMSWA,20070315,7.35,7.58,7.35,7.5,24600
AMTD,20070315,15.3,15.49,15.3,15.43,3420100
AMWD,20070315,35.65,36.54,35.65,36.12,236800
AMZN,20070315,38.1,38.29,37.55,37.78,7265600
ANAT,20070315,122.08,122.95,121.79,122.66,9900
ANCX,20070315,9.6,9.6,9.56,9.58,1100
ANDE,20070315,27.16,27.2933,26.5333,26.8,266500
ANGO,20070315,22.22,22.38,21.52,21.58,188600
ANIK,20070315,12.43,12.85,12.43,12.54,33100
ANSS,20070315,24.605,24.895,24.41,24.49,237000
APOG,20070315,18.96,19.19,18.65,18.98,136900
APOL,20070315,45.35,46.08,45.25,46.03,1275100
ARAY,20070315,25.05,25.05,24,24.51,250800
ARCC,20070315,18.35,18.68,17.9,18.59,643600
ARCI,20070315,2.4,2.42,2.2,2.2,3000
ARIA,20070315,4.31,4.33,4.19,4.22,488600
ARII,20070315,28.69,29.05,28.47,29.03,133400
ARKR,20070315,33.77,33.77,30.6,32.13,23300
ARLP,20070315,17.25,17.295,17,17.175,71800
ARNA,20070315,11.19,11.38,11.12,11.38,512200
AROW,20070315,22.01,22.52,21.72,22.46,38500
ARQL,20070315,6.28,6.64,6.28,6.6,61200
ARRS,20070315,13.01,13.16,12.88,13.13,1680700
ARRY,20070315,11.58,11.91,11.53,11.89,246700
ARTNA,20070315,19.11,19.29,19,19.24,5800
ARTW,20070315,7.59,7.82,7.4,7.52,5000
ARTX,20070315,3.14,3.2,3.14,3.16,27500
ARWR,20070315,3.68,3.89,3.56,3.69,56700
ASFI,20070315,37.42,41.55,37.06,41.44,359100
ASML,20070315,23.16,23.43,23.09,23.27,4214000
ASRV,20070315,4.65,4.66,4.64,4.66,6300
ASRVP,20070315,25.48,25.48,25.48,25.48,0
ASTE,20070315,37.93,38.59,37.6,38.4,229700
ASYS,20070315,7.65,7.65,7.46,7.49,16300
ATEC,20070315,50.16,52.32,49.56,50.52,13800
ATLO,20070315,20.85,20.85,20.85,20.85,0
ATNI,20070315,25.65,25.65,25.37,25.52,26800
ATRC,20070315,10.9,11,10.82,10.96,36900
ATRI,20070315,89.68,89.68,89.34,89.34,800
ATRO,20070315,14.2083,14.95,14.2083,14.7917,15400
ATRS,20070315,32.83,32.84,32.82,32.83,650800
ATTU,20070315,1.21,1.23,1.17,1.18,11100
ATVI,20070315,8.455,8.56,8.32,8.415,5078000
AUBN,20070315,28.03,28.03,28.03,28.03,100
AUDC,20070315,7.28,7.3,6.8,6.83,2625100
AVAV,20070315,23.9,24.25,23.37,23.5,193400
AVID,20070315,32.78,33.17,32.74,32.98,1164400
AWRE,20070315,5.5,5.54,5.4,5.5,13800
AXTI,20070315,5.06,5.09,4.91,4.99,154000
AZPN,20070315,11.79,12.03,11.6,12.01,653100
BABY,20070315,17.1,17.1,16.61,17,248800
BANF,20070315,45.87,46.41,45.55,46.04,11000
BANFP,20070315,25.6,25.6,25.6,25.6,100
BANR,20070315,276.5,278.46,275.87,278.18,38900
BASI,20070315,6.49,6.49,6.49,6.49,200
BBBY,20070315,38.86,39.2,38.81,38.95,1730800
BBGI,20070315,9,9,8.99,9,17800
BBOX,20070315,35.3,35.56,34.76,35.46,106700
BBRY,20070315,135.1,135.5,133.95,135.02,4643600
BBSI,20070315,22.61,22.76,22.41,22.6,20300
BCBP,20070315,17.25,17.28,17.24,17.28,2300
BCPC,20070315,10.6667,10.7867,10.4,10.6467,16100
BCRX,20070315,9.38,9.41,8.99,9.06,391400
BDSI,20070315,5.4,5.45,5.2,5.32,90200
BEAV,20070315,30.84,33.26,30.84,32.47,2789200
BEBE,20070315,17.11,17.22,16.76,17.02,1259300
BECN,20070315,15.56,15.78,15.48,15.5,635600
BELFA,20070315,28.6,28.6,28.29,28.3,800
BELFB,20070315,33.61,33.61,32.45,32.74,26300
BFIN,20070315,16.6,16.9,16.6,16.79,89200
BGFV,20070315,25.33,25.44,25.07,25.4,87400
BIDU,20070315,9.604,9.835,9.552,9.621,1097000
BIIB,20070315,44.12,44.49,43.63,44.1,3586000
BIOS,20070315,3.17,3.17,3.12,3.16,42200
BJRI,20070315,20.58,20.82,20.55,20.77,75100
BKMU,20070315,11.09,11.23,11.06,11.18,236100
BKSC,20070315,15.9,15.9,15.9,15.9,0
BLDP,20070315,5.62,5.67,5.55,5.57,348100
BLDR,20070315,16.53,16.71,16.44,16.64,192100
BLKB,20070315,22.7,22.87,22.52,22.79,221100
BLUE,20070315,1.77,1.77,1.65,1.69,108900
BMRC,20070315,35.81,36.09,35.78,35.78,6200
BMRN,20070315,16.25,16.59,16.17,16.54,929500
BMTC,20070315,23.58,23.68,23.47,23.55,7800
BNCN,20070315,20.35,20.35,19.99,19.99,400
BNSO,20070315,4.1,4.1,3.95,3.98,8400
BOBE,20070315,36.44,36.91,36.27,36.88,204000
BOCH,20070315,11.9,11.9,11.9,11.9,0
BOFI,20070315,1.75,1.75,1.75,1.75,600
BOKF,20070315,51.6,51.79,51.35,51.7,88200
BONT,20070315,55.65,57.4,52.77,54.93,744900
BOOM,20070315,29.98,30.73,29.98,30.72,238800
BOSC,20070315,10.24,10.28,10,10.04,1900
BPFH,20070315,28.45,28.95,28.31,28.9,367700
BPOP,20070315,158.5,162.6,158.5,160.9,1777000
BPOPM,20070315,24.5,24.9,24.5,24.9,5900
BPOPN,20070315,25.1,25.1,25.1,25.1,2100
BRCD,20070315,9.83,9.93,9.72,9.77,8900800
BRID,20070315,7.58,7.6,7.5,7.5,600
BRKL,20070315,12.21,12.54,12.15,12.48,364400
BRKR,20070315,9.44,9.73,9.44,9.73,243700
BRKS,20070315,16.36,16.56,16.26,16.56,460700
BSET,20070315,15.42,15.55,15.42,15.43,18300
BSQR,20070315,4.22,4.34,4.15,4.3,67900
BSRR,20070315,27.24,27.46,27.01,27.46,12400
BUSE,20070315,21.28,21.48,21.05,21.48,18800
BWINA,20070315,25.3,25.3,25.3,25.3,0
BWINB,20070315,25.4,25.79,25.4,25.58,17000
BWLD,20070315,27.91,28.815,27.87,28.75,268200
BYFC,20070315,10.8,10.8,10.8,10.8,0
CA,20070315,24.6276,24.8818,24.5299,24.7938,1163200
CAAS,20070315,7.87,8.1,7.83,8.02,85300
CACB,20070315,25.03,25.25,24.76,25.25,124800
